DashID;SupplierRef;PerformanceScore
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>
1928;1;3283.68
1929;1;308.00
1930;2;3335.20
1931;3;2110.50
1932;3;2246.40
1933;4;882.70
1934;4;256.60
1935;4;2214.02
1936;5;2676.88
1937;6;181.35
1938;6;863.04
1939;6;523.44
1940;7;1147.20
1941;7;1769.63
1942;7;1874.81
1943;7;3548.22
1944;7;3198.75
1945;8;4879.38
1946;9;1207.26
1947;10;478.26
1948;11;4081.80
1949;12;865.06
1950;12;968.50
1951;12;2300.90
1952;12;8773.64
1953;12;2686.56
1954;13;1477.55
1955;14;5108.25
1956;15;4689.72
1957;16;2377.68
1958;17;2178.98
1959;18;16313.50
1960;19;2814.64
1961;20;2507.92
1962;20;1052.42
1963;20;933.24
1964;21;1088.45
1965;22;590.14
1966;23;1679.40
1967;23;1301.00
1968;24;338.38
1969;24;2151.02
1970;24;4474.26
1971;25;2463.30
1972;26;5292.90
1973;27;666.48
1974;28;12658.20
1975;29;1643.88
1976;29;4982.79
