ReportID;SupplierName
<class 'int'>;<class 'str'>
216;Exotic Liquids
217;Tokyo Traders
218;Cooperativa de Quesos 'Las Cabras'
219;Mayumi's
220;Pavlova, Ltd.
221;Specialty Biscuits, Ltd.
222;PB Knäckebröd AB
223;Refrescos Americanas LTDA
224;Heli Süßwaren GmbH & Co. KG
225;Plutzer Lebensmittelgroßmärkte AG
226;Nord-Ost-Fisch Handelsgesellschaft mbH
227;Formaggi Fortini s.r.l.
228;Norske Meierier
229;Svensk Sjöföda AB
230;Aux joyeux ecclésiastiques
231;Leka Trading
232;Lyngbysild
233;Zaanse Snoepfabriek
234;Karkki Oy
235;G'day, Mate
236;Ma Maison
237;Pasta Buttini s.r.l.
238;Escargots Nouveaux
239;Gai pâturage
240;Forets d'érables
