DirID;EntryName
<class 'int'>;<class 'str'>
744;ALFREDS FUTTERKISTE
745;ANA TRUJILLO EMPAREDADOS Y HELADOS
746;ANTONIO MORENO TAQUERÍA
747;AROUND THE HORN
748;BERGLUNDS SNABBKÖP
749;BLAUER SEE DELIKATESSEN
750;BLONDESDDSL PERE ET FILS
751;BON APP'
752;BOTTOM-DOLLAR MARKETS
753;BÓLIDO COMIDAS PREPARADAS
754;B'S BEVERAGES
755;CACTUS COMIDAS PARA LLEVAR
756;CENTRO COMERCIAL MOCTEZUMA
757;CHOP-SUEY CHINESE
758;COMÉRCIO MINEIRO
759;CONSOLIDATED HOLDINGS
760;DIE WANDERNDE KUH
761;DRACHENBLUT DELIKATESSEN
762;DU MONDE ENTIER
763;EASTERN CONNECTION
764;ERNST HANDEL
765;FAMILIA ARQUIBALDO
766;FEDERAL SHIPPING
767;FISSA FABRICA INTER. SALCHICHAS S.A.
768;FOLIES GOURMANDES
769;FOLK OCH FÄ HB
770;FRANCE RESTAURATION
771;FRANCHI S.P.A.
772;FRANKENVERSAND
773;FURIA BACALHAU E FRUTOS DO MAR
774;GALERÍA DEL GASTRÓNOMO
775;GODOS COCINA TÍPICA
776;GOURMET LANCHONETES
777;GREAT LAKES FOOD MARKET
778;GROSELLA-RESTAURANTE
779;HANARI CARNES
780;HILARION-ABASTOS
781;HUNGRY COYOTE IMPORT STORE
782;HUNGRY OWL ALL-NIGHT GROCERS
783;ISLAND TRADING
784;KÖNIGLICH ESSEN
785;LA CORNE D'ABONDANCE
786;LA MAISON D'ASIE
787;LAUGHING BACCHUS WINE CELLARS
788;LAZY K KOUNTRY STORE
789;LEHMANNS MARKTSTAND
790;LET'S STOP N SHOP
791;LILA-SUPERMERCADO
792;LINO-DELICATESES
793;LONESOME PINE RESTAURANT
794;MAGAZZINI ALIMENTARI RIUNITI
795;MAISON DEWEY
796;MERE PAILLARDE
797;MORGENSTERN GESUNDKOST
798;NORTH/SOUTH
799;OCÉANO ATLÁNTICO LTDA.
800;OLD WORLD DELICATESSEN
801;OTTILIES KÄSELADEN
802;PARIS SPÉCIALITÉS
803;PERICLES COMIDAS CLÁSICAS
804;PICCOLO UND MEHR
805;PRINCESA ISABEL VINHOS
806;QUE DELÍCIA
