AuditID;OrderRef;ProductRef;AuditStatus
<class 'int'>;<class 'int'>;<class 'int'>;<class 'str'>
1816;10248;11;Verified
1817;10248;42;Verified
1818;10248;72;Verified
1819;10249;14;Verified
1820;10249;51;Verified
1821;10251;22;Verified
1822;10251;57;Verified
1823;10251;65;Verified
1824;10252;20;Verified
1825;10252;33;Verified
1826;10252;60;Verified
1827;10260;41;Verified
1828;10260;57;Verified
1829;10260;62;Verified
1830;10260;70;Verified
1831;10265;17;Verified
1832;10265;70;Verified
1833;10267;40;Verified
1834;10267;59;Verified
1835;10267;76;Verified
1836;10273;10;Verified
1837;10273;31;Verified
1838;10273;33;Verified
1839;10273;40;Verified
1840;10273;76;Verified
1841;10274;71;Verified
1842;10274;72;Verified
1843;10277;28;Verified
1844;10277;62;Verified
1845;10279;17;Verified
1846;10284;27;Verified
1847;10284;44;Verified
1848;10284;60;Verified
1849;10284;67;Verified
1850;10285;1;Verified
1851;10285;40;Verified
1852;10285;53;Verified
1853;10286;35;Verified
1854;10286;62;Verified
1855;10289;3;Verified
1856;10289;64;Verified
1857;10295;56;Verified
1858;10297;39;Verified
1859;10297;72;Verified
1860;10301;40;Verified
1861;10301;56;Verified
1862;10302;17;Verified
1863;10302;28;Verified
1864;10302;43;Verified
1865;10311;42;Verified
1866;10311;69;Verified
1867;10312;28;Verified
1868;10312;43;Verified
1869;10312;53;Verified
1870;10312;75;Verified
1871;10313;36;Verified
1872;10315;34;Verified
1873;10315;70;Verified
1874;10318;41;Verified
1875;10318;76;Verified
1876;10321;35;Verified
1877;10323;15;Verified
1878;10323;25;Verified
