ReportID;SourceInventoryID;FinalValue
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>
367;304;702.00
368;307;1166.00
369;309;3000.00
370;312;2813.00
371;313;961.00
372;315;3268.00
373;317;813.75
374;318;604.50
375;319;506.05
376;321;2625.00
377;323;3240.00
378;325;2184.00
379;326;549.00
380;328;1064.00
381;330;2151.10
382;331;1185.60
383;337;1554.00
384;339;2128.00
385;341;4479.50
386;342;1242.00
387;343;2263.20
388;344;820.25
389;346;782.00
390;347;525.15
391;349;1140.00
392;353;1056.25
393;354;1060.00
394;358;2760.00
395;359;798.00
396;360;702.00
397;361;821.50
398;362;4345.00
399;363;646.00
400;364;3220.50
401;365;838.10
402;366;1053.60
