ReportID;SourceTable;MissingOrderID
<class 'int'>;<class 'str'>;<class 'int'>
2348;Europe;10248
2349;Europe;10249
2350;Europe;10251
2351;Europe;10260
2352;Europe;10265
2353;Europe;10267
2354;Europe;10273
2355;Europe;10274
2356;Europe;10275
2357;Europe;10277
2358;Europe;10279
2359;Europe;10284
2360;Europe;10285
2361;Europe;10286
2362;Europe;10288
2363;Europe;10289
2364;Europe;10295
2365;Europe;10297
2366;Europe;10300
2367;Europe;10301
2368;Europe;10311
2369;Europe;10312
2370;Europe;10313
2371;Europe;10323
2372;Europe;10325
2373;Europe;10331
2374;Europe;10334
2375;Europe;10337
2376;Europe;10340
2377;Europe;10342
2378;Europe;10343
2379;Europe;10345
2380;Europe;10348
2381;Europe;10350
2382;Europe;10355
2383;Europe;10356
2384;Europe;10358
2385;Europe;10359
2386;Europe;10360
2387;Europe;10361
2388;Europe;10362
2389;Europe;10363
2390;Europe;10364
2391;Europe;10371
2392;Europe;10377
2393;Europe;10383
2394;Europe;10387
2395;Europe;10388
2396;Europe;10391
2397;Europe;10396
2398;Europe;10400
2399;Europe;10404
2400;Europe;10407
2401;Europe;10408
2402;Europe;10413
2403;Europe;10418
2404;Europe;10422
2405;Europe;10425
2406;Europe;10428
2407;Europe;10435
2408;Europe;10436
2409;Europe;10438
2410;Europe;10443
2411;Europe;10446
2412;Europe;10449
2413;Europe;10450
2414;Europe;10451
2415;Europe;10453
2416;Europe;10454
2417;Europe;10456
2418;Europe;10457
2419;Europe;10459
2420;Europe;10462
2421;Europe;10467
2422;Europe;10468
2423;Europe;10470
2424;Europe;10471
2425;Europe;10472
2426;Europe;10478
2427;Europe;10480
2428;Europe;10484
2429;Europe;10488
2430;Europe;10493
2431;Europe;10497
2432;Europe;10500
2433;Europe;10501
2434;Europe;10506
2435;Europe;10508
2436;Europe;10509
2437;Europe;10511
2438;Europe;10513
2439;Europe;10515
2440;Europe;10517
2441;Europe;10520
2442;Europe;10522
2443;Europe;10523
2444;Europe;10525
2445;Europe;10527
2446;Europe;10532
2447;Europe;10534
2448;Europe;10536
2449;Europe;10538
2450;Europe;10539
2451;Europe;10540
2452;Europe;10542
2453;Europe;10546
2454;Europe;10547
2455;Europe;10548
2456;Europe;10549
2457;Europe;10554
2458;Europe;10557
2459;Europe;10558
2460;Europe;10559
2461;Europe;10560
2462;Europe;10562
2463;Europe;10566
2464;Europe;10575
2465;Europe;10578
2466;Europe;10580
2467;Europe;10582
2468;Europe;10584
2469;Europe;10586
2470;Europe;10588
2471;Europe;10592
2472;Europe;10593
2473;Europe;10599
2474;Europe;10608
2475;Europe;10609
2476;Europe;10610
2477;Europe;10614
2478;Europe;10623
2479;Europe;10628
2480;Europe;10630
2481;Europe;10631
2482;Europe;10632
2483;Europe;10634
2484;Europe;10635
2485;Europe;10639
2486;Europe;10640
2487;Europe;10643
2488;Europe;10651
2489;Europe;10653
2490;Europe;10655
2491;Europe;10658
2492;Europe;10663
2493;Europe;10668
2494;Europe;10670
2495;Europe;10671
2496;Europe;10675
2497;Europe;10679
2498;Europe;10683
2499;Europe;10684
2500;Europe;10691
2501;Europe;10692
2502;Europe;10694
2503;Europe;10699
2504;Europe;10702
2505;Europe;10707
2506;Europe;10710
2507;Europe;10715
2508;Europe;10717
2509;Europe;10718
2510;Europe;10721
2511;Europe;10726
2512;Europe;10727
2513;Europe;10730
2514;Europe;10732
2515;Europe;10737
2516;Europe;10738
2517;Europe;10739
2518;Europe;10741
2519;Europe;10743
2520;Europe;10745
2521;Europe;10752
2522;Europe;10753
2523;Europe;10754
2524;Europe;10755
2525;Europe;10763
2526;Europe;10765
2527;Europe;10766
2528;Europe;10768
2529;Europe;10772
2530;Europe;10779
2531;Europe;10784
2532;Europe;10787
2533;Europe;10788
2534;Europe;10789
2535;Europe;10791
2536;Europe;10793
2537;Europe;10797
2538;Europe;10799
2539;Europe;10800
2540;Europe;10804
2541;Europe;10806
2542;Europe;10807
2543;Europe;10812
2544;Europe;10814
2545;Europe;10817
2546;Europe;10818
2547;Europe;10825
2548;Europe;10826
2549;Europe;10827
2550;Europe;10831
2551;Europe;10832
2552;Europe;10833
2553;Europe;10835
2554;Europe;10843
2555;Europe;10845
2556;Europe;10848
2557;Europe;10849
2558;Europe;10850
2559;Europe;10853
2560;Europe;10858
2561;Europe;10859
2562;Europe;10860
2563;Europe;10862
2564;Europe;10864
2565;Europe;10865
2566;Europe;10869
2567;Europe;10871
2568;Europe;10876
2569;Europe;10878
2570;Europe;10890
2571;Europe;10891
2572;Europe;10893
2573;Europe;10907
2574;Europe;10908
2575;Europe;10909
2576;Europe;10920
2577;Europe;10923
2578;Europe;10927
2579;Europe;10929
2580;Europe;10932
2581;Europe;10934
2582;Europe;10938
2583;Europe;10939
2584;Europe;10940
2585;Europe;10942
2586;Europe;10943
2587;Europe;10945
2588;Europe;10947
2589;Europe;10950
2590;Europe;10952
2591;Europe;10953
2592;Europe;10956
2593;Europe;10962
2594;Europe;10964
2595;Europe;10967
2596;Europe;10971
2597;Europe;10972
2598;Europe;10973
2599;Europe;10987
2600;Europe;10991
2601;Europe;10996
2602;Europe;10999
2603;Europe;11010
2604;Europe;11011
2605;Europe;11012
2606;Europe;11015
2607;Europe;11016
2608;Europe;11020
2609;Europe;11021
2610;Europe;11023
2611;Europe;11024
2612;Europe;11026
2613;Europe;11028
2614;Europe;11036
2615;Europe;11043
2616;Europe;11046
2617;Europe;11047
2618;Europe;11051
2619;Europe;11056
2620;Europe;11057
2621;Europe;11058
2622;Europe;11060
2623;Europe;11062
2624;Europe;11067
2625;Europe;11070
2626;Europe;11076
