ArchiveID;ProductID;FinalRevenue;ArchiveTimestamp
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>;<class 'str'>
2040;23;3643.20;2026-01-28 23:07:02.297000
2041;46;3756.00;2026-01-28 23:07:02.297000
2042;69;13838.40;2026-01-28 23:07:02.297000
2043;29;69268.98;2026-01-28 23:07:02.297000
2044;75;7260.20;2026-01-28 23:07:02.297000
2045;15;976.50;2026-01-28 23:07:02.297000
2046;9;3395.00;2026-01-28 23:07:02.297000
2047;3;2820.00;2026-01-28 23:07:02.297000
2048;52;2415.00;2026-01-28 23:07:02.300000
2049;72;21219.20;2026-01-28 23:07:02.300000
2050;66;3043.00;2026-01-28 23:07:02.300000
2051;32;7545.60;2026-01-28 23:07:02.300000
2052;26;15483.84;2026-01-28 23:07:02.300000
2053;12;7546.80;2026-01-28 23:07:02.300000
2054;35;12214.80;2026-01-28 23:07:02.300000
2055;63;13615.20;2026-01-28 23:07:02.300000
2056;6;5875.00;2026-01-28 23:07:02.300000
2057;55;17481.60;2026-01-28 23:07:02.300000
2058;43;18326.40;2026-01-28 23:07:02.300000
2059;49;8460.00;2026-01-28 23:07:02.300000
2060;67;2212.00;2026-01-28 23:07:02.300000
2061;27;15231.50;2026-01-28 23:07:02.300000
2062;21;7726.00;2026-01-28 23:07:02.300000
2063;58;4425.50;2026-01-28 23:07:02.300000
2064;64;18520.25;2026-01-28 23:07:02.300000
2065;38;124951.70;2026-01-28 23:07:02.300000
2066;7;19764.00;2026-01-28 23:07:02.300000
2067;44;6627.15;2026-01-28 23:07:02.300000
2068;1;11296.80;2026-01-28 23:07:02.300000
2069;50;2340.00;2026-01-28 23:07:02.300000
2070;24;4373.10;2026-01-28 23:07:02.300000
2071;47;2641.00;2026-01-28 23:07:02.300000
2072;70;7872.00;2026-01-28 23:07:02.300000
2073;30;11685.09;2026-01-28 23:07:02.300000
2074;18;24175.00;2026-01-28 23:07:02.300000
2075;10;17707.20;2026-01-28 23:07:02.300000
2076;61;15441.30;2026-01-28 23:07:02.300000
2077;41;6078.75;2026-01-28 23:07:02.300000
2078;4;6595.60;2026-01-28 23:07:02.300000
2079;65;9727.40;2026-01-28 23:07:02.300000
2080;19;4721.40;2026-01-28 23:07:02.300000
2081;73;2475.00;2026-01-28 23:07:02.300000
2082;25;3334.80;2026-01-28 23:07:02.303000
2083;36;10503.20;2026-01-28 23:07:02.303000
2084;62;38031.60;2026-01-28 23:07:02.303000
2085;13;5116.80;2026-01-28 23:07:02.303000
2086;42;7294.00;2026-01-28 23:07:02.303000
2087;5;5715.75;2026-01-28 23:07:02.303000
2088;56;34982.80;2026-01-28 23:07:02.303000
2089;22;6812.40;2026-01-28 23:07:02.303000
2090;76;13906.80;2026-01-28 23:07:02.303000
2091;59;60104.00;2026-01-28 23:07:02.303000
2092;33;1527.50;2026-01-28 23:07:02.303000
2093;39;9885.60;2026-01-28 23:07:02.303000
2094;16;14486.80;2026-01-28 23:07:02.303000
2095;53;16361.80;2026-01-28 23:07:02.303000
2096;45;2897.50;2026-01-28 23:07:02.303000
2097;2;16093.00;2026-01-28 23:07:02.303000
2098;48;1236.75;2026-01-28 23:07:02.303000
2099;71;16404.50;2026-01-28 23:07:02.303000
2100;77;8234.20;2026-01-28 23:07:02.303000
2101;17;25958.40;2026-01-28 23:07:02.303000
2102;31;12510.00;2026-01-28 23:07:02.303000
