AuditID;SourceOrderID;TotalWithTax
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>
2637;10411;1389.78
2638;10388;1465.10
2639;11052;1914.75
2640;10457;1821.60
2641;10789;4240.05
2642;10766;2656.50
2643;10912;9507.51
2644;10265;1352.40
2645;10812;2129.80
2646;10929;1350.96
2647;10294;2170.74
2648;10440;6662.07
2649;10981;18181.50
2650;10749;1242.00
2651;10357;1564.00
2652;10511;3450.00
2653;10703;2926.75
2654;11035;2017.68
2655;10557;1325.38
2656;10643;1248.90
2657;10889;13087.00
2658;10497;1587.69
2659;10503;2355.78
2660;10989;1556.64
2661;10302;3115.12
2662;10603;1734.20
2663;10941;5484.35
2664;10451;4919.01
2665;10697;1234.99
2666;10795;2874.14
2667;10305;4780.55
2668;10551;2111.40
2669;10649;1649.10
2670;10895;7336.31
2671;10660;1956.15
2672;10351;6529.24
2673;10400;3522.45
2674;10566;2346.00
2675;11064;5430.65
2676;10543;2035.50
2677;10729;2127.50
2678;10803;1444.17
2679;10852;3431.60
2680;10829;2028.60
2681;10537;2097.37
2682;10709;3937.60
2683;10637;3330.69
2684;10686;1884.22
2685;10760;3799.60
2686;10417;12975.68
2687;10666;5366.98
2688;10523;3123.29
2689;11021;7982.71
2690;10617;1897.50
2691;10629;3191.31
2692;10866;1680.84
2693;10878;1863.00
2694;10680;1934.88
2695;10325;1721.55
2696;10580;1227.17
2697;10823;3573.63
2698;11072;6000.70
2699;10431;2901.45
