ArchiveID;SupplierName;QualityStatus
<class 'int'>;<class 'str'>;<class 'str'>
715;Karkki Oy;Original
716;Cooperativa de Quesos 'Las Cabras';Original
717;Norske Meierier;Original
718;Refrescos Americanas LTDA;Original
719;Leka Trading;Original
720;Forets d'érables;Original
721;Exotic Liquids;Original
722;Bigfoot Breweries;Original
723;Zaanse Snoepfabriek;Original
724;Gai pâturage;Original
725;Formaggi Fortini s.r.l.;Original
726;Pasta Buttini s.r.l.;Original
727;Aux joyeux ecclésiastiques;Original
728;Pavlova, Ltd.;Original
729;Ma Maison;Original
730;PB Knäckebröd AB;Original
731;Escargots Nouveaux;Original
732;Plutzer Lebensmittelgroßmärkte AG;Original
733;Mayumi's;Original
734;Svensk Sjöföda AB;Original
735;Lyngbysild;Original
736;Specialty Biscuits, Ltd.;Original
737;Heli Süßwaren GmbH & Co. KG;Original
738;Grandma Kelly's Homestead;Original
739;New England Seafood Cannery;Original
740;New Orleans Cajun Delights;Original
741;Nord-Ost-Fisch Handelsgesellschaft mbH;Original
742;G'day, Mate;Original
743;Tokyo Traders;Original
