TID;Description;LastUpdated
<class 'str'>;<class 'str'>;<class 'str'>
01581;Westboro                                          ;2026-01-28 23:07:02.173000
01730;Bedford                                           ;2026-01-28 23:07:02.173000
01833;Georgetow                                         ;2026-01-28 23:07:02.173000
02116;Boston                                            ;2026-01-28 23:07:02.173000
02139;Cambridge                                         ;2026-01-28 23:07:02.173000
02184;Braintree                                         ;2026-01-28 23:07:02.173000
02903;Providence                                        ;2026-01-28 23:07:02.173000
03049;Hollis                                            ;2026-01-28 23:07:02.173000
03801;Portsmouth                                        ;2026-01-28 23:07:02.173000
06897;Wilton                                            ;2026-01-28 23:07:02.173000
07960;Morristown                                        ;2026-01-28 23:07:02.173000
08837;Edison                                            ;2026-01-28 23:07:02.173000
10019;New York                                          ;2026-01-28 23:07:02.173000
10038;New York                                          ;2026-01-28 23:07:02.173000
11747;Mellvile                                          ;2026-01-28 23:07:02.173000
14450;Fairport                                          ;2026-01-28 23:07:02.173000
19428;Philadelphia                                      ;2026-01-28 23:07:02.173000
19713;Neward                                            ;2026-01-28 23:07:02.173000
20852;Rockville                                         ;2026-01-28 23:07:02.173000
27403;Greensboro                                        ;2026-01-28 23:07:02.173000
27511;Cary                                              ;2026-01-28 23:07:02.173000
29202;Columbia                                          ;2026-01-28 23:07:02.173000
30346;Atlanta                                           ;2026-01-28 23:07:02.173000
31406;Savannah                                          ;2026-01-28 23:07:02.173000
32859;Orlando                                           ;2026-01-28 23:07:02.173000
33607;Tampa                                             ;2026-01-28 23:07:02.173000
40222;Louisville                                        ;2026-01-28 23:07:02.173000
44122;Beachwood                                         ;2026-01-28 23:07:02.173000
45839;Findlay                                           ;2026-01-28 23:07:02.173000
48075;Southfield                                        ;2026-01-28 23:07:02.173000
48084;Troy                                              ;2026-01-28 23:07:02.173000
48304;Bloomfield Hills                                  ;2026-01-28 23:07:02.173000
53404;Racine                                            ;2026-01-28 23:07:02.173000
55113;Roseville                                         ;2026-01-28 23:07:02.173000
55439;Minneapolis                                       ;2026-01-28 23:07:02.173000
60179;Hoffman Estates                                   ;2026-01-28 23:07:02.173000
60601;Chicago                                           ;2026-01-28 23:07:02.173000
72716;Bentonville                                       ;2026-01-28 23:07:02.173000
75234;Dallas                                            ;2026-01-28 23:07:02.173000
78759;Austin                                            ;2026-01-28 23:07:02.173000
80202;Denver                                            ;2026-01-28 23:07:02.173000
80909;Colorado Springs                                  ;2026-01-28 23:07:02.173000
85014;Phoenix                                           ;2026-01-28 23:07:02.173000
85251;Scottsdale                                        ;2026-01-28 23:07:02.173000
90405;Santa Monica                                      ;2026-01-28 23:07:02.173000
94025;Menlo Park                                        ;2026-01-28 23:07:02.173000
94105;San Francisco                                     ;2026-01-28 23:07:02.173000
95008;Campbell                                          ;2026-01-28 23:07:02.173000
95054;Santa Clara                                       ;2026-01-28 23:07:02.173000
95060;Santa Cruz                                        ;2026-01-28 23:07:02.173000
98004;Bellevue                                          ;2026-01-28 23:07:02.173000
98052;Redmond                                           ;2026-01-28 23:07:02.173000
98104;Seattle                                           ;2026-01-28 23:07:02.173000
