PerfID;ProductID;TotalCalculatedYearlyRevenue
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>
1977;23;3643.20
1978;46;3756.00
1979;69;13838.40
1980;29;69268.98
1981;75;7260.20
1982;15;976.50
1983;9;3395.00
1984;3;2820.00
1985;52;2415.00
1986;72;21219.20
1987;66;3043.00
1988;32;7545.60
1989;26;15483.84
1990;12;7546.80
1991;35;12214.80
1992;63;13615.20
1993;6;5875.00
1994;55;17481.60
1995;43;18326.40
1996;49;8460.00
1997;67;2212.00
1998;27;15231.50
1999;21;7726.00
2000;58;4425.50
2001;64;18520.25
2002;38;124951.70
2003;7;19764.00
2004;44;6627.15
2005;1;11296.80
2006;50;2340.00
2007;24;4373.10
2008;47;2641.00
2009;70;7872.00
2010;30;11685.09
2011;18;24175.00
2012;10;17707.20
2013;61;15441.30
2014;41;6078.75
2015;4;6595.60
2016;65;9727.40
2017;19;4721.40
2018;73;2475.00
2019;25;3334.80
2020;36;10503.20
2021;62;38031.60
2022;13;5116.80
2023;42;7294.00
2024;5;5715.75
2025;56;34982.80
2026;22;6812.40
2027;76;13906.80
2028;59;60104.00
2029;33;1527.50
2030;39;9885.60
2031;16;14486.80
2032;53;16361.80
2033;45;2897.50
2034;2;16093.00
2035;48;1236.75
2036;71;16404.50
2037;77;8234.20
2038;17;25958.40
2039;31;12510.00
