LogisticsID;OriginalOrderID;OriginalProductID;VolumeMetric
<class 'int'>;<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>
1753;10248;11;168.00
1754;10248;42;98.00
1755;10248;72;174.00
1756;10249;14;167.40
1757;10249;51;1696.00
1758;10251;22;100.80
1759;10251;57;234.00
1760;10251;65;336.00
1761;10252;20;2592.00
1762;10252;33;50.00
1763;10252;60;1088.00
1764;10260;41;123.20
1765;10260;57;780.00
1766;10260;62;591.00
1767;10260;70;252.00
1768;10265;17;936.00
1769;10265;70;240.00
1770;10267;40;735.00
1771;10267;59;3080.00
1772;10267;76;216.00
1773;10273;10;595.20
1774;10273;31;150.00
1775;10273;33;40.00
1776;10273;40;882.00
1777;10273;76;475.20
1778;10274;71;344.00
1779;10274;72;194.60
1780;10277;28;728.00
1781;10277;62;472.80
1782;10279;17;468.00
1783;10284;27;526.50
1784;10284;44;325.50
1785;10284;60;544.00
1786;10284;67;56.00
1787;10285;1;648.00
1788;10285;40;588.00
1789;10285;53;943.20
1790;10286;35;1440.00
1791;10286;62;1576.00
1792;10289;3;240.00
1793;10289;64;239.40
1794;10295;56;121.60
1795;10297;39;864.00
1796;10297;72;556.00
1797;10301;40;147.00
1798;10301;56;608.00
1799;10302;17;1248.00
1800;10302;28;1019.20
1801;10302;43;441.60
1802;10311;42;67.20
1803;10311;69;201.60
1804;10312;28;145.60
1805;10312;43;883.20
1806;10312;53;524.00
1807;10312;75;62.00
1808;10313;36;182.40
1809;10315;34;156.80
1810;10315;70;360.00
1811;10318;41;154.00
1812;10318;76;86.40
1813;10321;35;144.00
1814;10323;15;62.00
1815;10323;25;44.80
