ExecID;SourceCustomerID;AccountName
<class 'int'>;<class 'str'>;<class 'str'>
40;ANATR;Ana Trujillo Emparedados y helados
41;ANTON;Antonio Moreno Taquería
42;BOLID;Bólido Comidas preparadas
43;BONAP;Bon app'
44;CHOPS;Chop-suey Chinese
45;DUMON;Du monde entier
46;FOLKO;Folk och fä HB
47;GROSR;GROSELLA-Restaurante
48;LETSS;Let's Stop N Shop
49;LINOD;LINO-Delicateses
50;OTTIK;Ottilies Käseladen
51;PARIS;Paris spécialités
52;SANTG;Santé Gourmet
53;SIMOB;Simons bistro
54;TORTU;Tortuga Restaurante
55;WHITC;White Clover Markets
56;WOLZA;Wolski  Zajazd
