StageID;SourceOrderID;ShippingLabel
<class 'int'>;<class 'int'>;<class 'str'>
91;10255;Richter Supermarkt
92;10258;Ernst Handel
93;10263;Ernst Handel
94;10267;Frankenversand
95;10270;Wartian Herkku
96;10277;Morgenstern Gesundkost
97;10286;QUICK-Stop
98;10294;Rattlesnake Canyon Grocery
99;10298;Hungry Owl All-Night Grocers
100;10303;Godos Cocina Típica
101;10305;Old World Delicatessen
102;10316;Rattlesnake Canyon Grocery
103;10324;Save-a-lot Markets
104;10329;Split Rail Beer & Ale
105;10337;Frankenversand
106;10340;Bon app'
107;10343;Lehmanns Marktstand
108;10345;QUICK-Stop
109;10346;Rattlesnake Canyon Grocery
110;10351;Ernst Handel
111;10353;Piccolo und mehr
112;10359;Seven Seas Imports
113;10360;Blondel père et fils
114;10361;QUICK-Stop
115;10368;Ernst Handel
116;10369;Split Rail Beer & Ale
117;10372;Queen Cozinha
118;10373;Hungry Owl All-Night Grocers
119;10384;Berglunds snabbköp
120;10390;Ernst Handel
121;10392;Piccolo und mehr
122;10393;Save-a-lot Markets
123;10395;HILARION-Abastos
124;10396;Frankenversand
125;10404;Magazzini Alimentari Riuniti
126;10406;Queen Cozinha
127;10419;Richter Supermarkt
128;10424;Mère Paillarde
129;10430;Ernst Handel
130;10436;Blondel père et fils
131;10451;QUICK-Stop
132;10452;Save-a-lot Markets
133;10455;Wartian Herkku
134;10458;Suprêmes délices
135;10461;LILA-Supermercado
136;10465;Vaffeljernet
137;10479;Rattlesnake Canyon Grocery
138;10490;HILARION-Abastos
139;10499;LILA-Supermercado
140;10510;Save-a-lot Markets
141;10511;Bon app'
142;10513;Die Wandernde Kuh
143;10514;Ernst Handel
144;10515;QUICK-Stop
145;10518;Tortuga Restaurante
146;10524;Berglunds snabbköp
147;10530;Piccolo und mehr
148;10533;Folk och fä HB
149;10540;QUICK-Stop
150;10546;Victuailles en stock
151;10547;Seven Seas Imports
152;10549;QUICK-Stop
153;10553;Wartian Herkku
