IntlID;OriginalSupplierID;OrgName
<class 'int'>;<class 'int'>;<class 'str'>
166;1;Exotic Liquids
167;4;Tokyo Traders
168;5;Cooperativa de Quesos 'Las Cabras'
169;6;Mayumi's
170;7;Pavlova, Ltd.
171;8;Specialty Biscuits, Ltd.
172;9;PB Knäckebröd AB
173;10;Refrescos Americanas LTDA
174;11;Heli Süßwaren GmbH & Co. KG
175;12;Plutzer Lebensmittelgroßmärkte AG
176;13;Nord-Ost-Fisch Handelsgesellschaft mbH
177;14;Formaggi Fortini s.r.l.
178;15;Norske Meierier
179;17;Svensk Sjöföda AB
180;18;Aux joyeux ecclésiastiques
181;20;Leka Trading
182;21;Lyngbysild
183;22;Zaanse Snoepfabriek
184;23;Karkki Oy
185;24;G'day, Mate
186;25;Ma Maison
187;26;Pasta Buttini s.r.l.
188;27;Escargots Nouveaux
189;28;Gai pâturage
190;29;Forets d'érables
