StageID;OriginalProductID;FullDescription
<class 'int'>;<class 'int'>;<class 'str'>
505;1;Chai (Beverages) via Exotic Liquids
506;2;Chang (Beverages) via Exotic Liquids
507;3;Aniseed Syrup (Condiments) via Exotic Liquids
508;4;Chef Anton's Cajun Seasoning (Condiments) via New Orleans Cajun Delights
509;5;Chef Anton's Gumbo Mix (Condiments) via New Orleans Cajun Delights
510;6;Grandma's Boysenberry Spread (Condiments) via Grandma Kelly's Homestead
511;7;Uncle Bob's Organic Dried Pears (Produce) via Grandma Kelly's Homestead
512;8;Northwoods Cranberry Sauce (Condiments) via Grandma Kelly's Homestead
513;9;Mishi Kobe Niku (Meat/Poultry) via Tokyo Traders
514;10;Ikura (Seafood) via Tokyo Traders
515;11;Queso Cabrales (Dairy Products) via Cooperativa de Quesos 'Las Cabras'
516;12;Queso Manchego La Pastora (Dairy Products) via Cooperativa de Quesos 'Las Cabras'
517;13;Konbu (Seafood) via Mayumi's
518;14;Tofu (Produce) via Mayumi's
519;15;Genen Shouyu (Condiments) via Mayumi's
520;16;Pavlova (Confections) via Pavlova, Ltd.
521;17;Alice Mutton (Meat/Poultry) via Pavlova, Ltd.
522;18;Carnarvon Tigers (Seafood) via Pavlova, Ltd.
523;19;Teatime Chocolate Biscuits (Confections) via Specialty Biscuits, Ltd.
524;20;Sir Rodney's Marmalade (Confections) via Specialty Biscuits, Ltd.
525;21;Sir Rodney's Scones (Confections) via Specialty Biscuits, Ltd.
526;22;Gustaf's Knäckebröd (Grains/Cereals) via PB Knäckebröd AB
527;23;Tunnbröd (Grains/Cereals) via PB Knäckebröd AB
528;24;Guaraná Fantástica (Beverages) via Refrescos Americanas LTDA
529;25;NuNuCa Nuß-Nougat-Creme (Confections) via Heli Süßwaren GmbH & Co. KG
530;26;Gumbär Gummibärchen (Confections) via Heli Süßwaren GmbH & Co. KG
531;27;Schoggi Schokolade (Confections) via Heli Süßwaren GmbH & Co. KG
532;28;Rössle Sauerkraut (Produce) via Plutzer Lebensmittelgroßmärkte AG
533;29;Thüringer Rostbratwurst (Meat/Poultry) via Plutzer Lebensmittelgroßmärkte AG
534;30;Nord-Ost Matjeshering (Seafood) via Nord-Ost-Fisch Handelsgesellschaft mbH
535;31;Gorgonzola Telino (Dairy Products) via Formaggi Fortini s.r.l.
536;32;Mascarpone Fabioli (Dairy Products) via Formaggi Fortini s.r.l.
537;33;Geitost (Dairy Products) via Norske Meierier
538;34;Sasquatch Ale (Beverages) via Bigfoot Breweries
539;35;Steeleye Stout (Beverages) via Bigfoot Breweries
540;36;Inlagd Sill (Seafood) via Svensk Sjöföda AB
541;37;Gravad lax (Seafood) via Svensk Sjöföda AB
542;38;Côte de Blaye (Beverages) via Aux joyeux ecclésiastiques
543;39;Chartreuse verte (Beverages) via Aux joyeux ecclésiastiques
544;40;Boston Crab Meat (Seafood) via New England Seafood Cannery
545;41;Jack's New England Clam Chowder (Seafood) via New England Seafood Cannery
546;42;Singaporean Hokkien Fried Mee (Grains/Cereals) via Leka Trading
547;43;Ipoh Coffee (Beverages) via Leka Trading
548;44;Gula Malacca (Condiments) via Leka Trading
549;45;Rogede sild (Seafood) via Lyngbysild
550;46;Spegesild (Seafood) via Lyngbysild
551;47;Zaanse koeken (Confections) via Zaanse Snoepfabriek
552;48;Chocolade (Confections) via Zaanse Snoepfabriek
553;49;Maxilaku (Confections) via Karkki Oy
554;50;Valkoinen suklaa (Confections) via Karkki Oy
555;51;Manjimup Dried Apples (Produce) via G'day, Mate
556;52;Filo Mix (Grains/Cereals) via G'day, Mate
557;53;Perth Pasties (Meat/Poultry) via G'day, Mate
558;54;Tourtiere (Meat/Poultry) via Ma Maison
559;55;Pâté chinois (Meat/Poultry) via Ma Maison
560;56;Gnocchi di nonna Alice (Grains/Cereals) via Pasta Buttini s.r.l.
561;57;Ravioli Angelo (Grains/Cereals) via Pasta Buttini s.r.l.
562;58;Escargots de Bourgogne (Seafood) via Escargots Nouveaux
563;59;Raclette Courdavault (Dairy Products) via Gai pâturage
564;60;Camembert Pierrot (Dairy Products) via Gai pâturage
565;61;Sirop d'érable (Condiments) via Forets d'érables
566;62;Tarte au sucre (Confections) via Forets d'érables
567;63;Vegie-spread (Condiments) via Pavlova, Ltd.
