MasterID;ContactName;MasterCompany;IsConsolidated
<class 'int'>;<class 'str'>;<class 'str'>;<class 'bool'>
686;Anne Heikkonen;Karkki Oy;False
687;Antonio del Valle Saavedra;Cooperativa de Quesos 'Las Cabras';False
688;Beate Vileid;Norske Meierier;False
689;Carlos Diaz;Refrescos Americanas LTDA;False
690;Chandra Leka;Leka Trading;False
691;Chantal Goulet;Forets d'érables;False
692;Charlotte Cooper;Exotic Liquids;False
693;Cheryl Saylor;Bigfoot Breweries;False
694;Dirk Luchte;Zaanse Snoepfabriek;False
695;Eliane Noz;Gai pâturage;False
696;Elio Rossi;Formaggi Fortini s.r.l.;False
697;Giovanni Giudici;Pasta Buttini s.r.l.;False
698;Guylene Nodier;Aux joyeux ecclésiastiques;False
699;Ian Devling;Pavlova, Ltd.;False
700;Jean-Guy Lauzon;Ma Maison;False
701;Lars Peterson;PB Knäckebröd AB;False
702;Marie Delamare;Escargots Nouveaux;False
703;Martin Bein;Plutzer Lebensmittelgroßmärkte AG;False
704;Mayumi Ohno;Mayumi's;False
705;Michael Björn;Svensk Sjöföda AB;False
706;Niels Petersen;Lyngbysild;False
707;Peter Wilson;Specialty Biscuits, Ltd.;False
708;Petra Winkler;Heli Süßwaren GmbH & Co. KG;False
709;Regina Murphy;Grandma Kelly's Homestead;False
710;Robb Merchant;New England Seafood Cannery;False
711;Shelley Burke;New Orleans Cajun Delights;False
712;Sven Petersen;Nord-Ost-Fisch Handelsgesellschaft mbH;False
713;Wendy Mackenzie;G'day, Mate;False
714;Yoshi Nagase;Tokyo Traders;False
