ProductID;TagValue
<class 'int'>;<class 'str'>
17;Alice
17;Mutton
3;Aniseed
3;Syrup
40;Boston
40;Crab
40;Meat
60;Camembert
60;Pierrot
18;Carnarvon
18;Tigers
1;Chai
2;Chang
39;Chartreuse
39;verte
4;Chef
4;Anton's
4;Cajun
4;Seasoning
5;Chef
5;Anton's
5;Gumbo
5;Mix
48;Chocolade
38;Côte
38;de
38;Blaye
58;Escargots
58;de
58;Bourgogne
52;Filo
52;Mix
71;Flotemysost
33;Geitost
15;Genen
15;Shouyu
56;Gnocchi
56;di
56;nonna
56;Alice
31;Gorgonzola
31;Telino
6;Grandma's
6;Boysenberry
6;Spread
37;Gravad
37;lax
24;Guaraná
24;Fantástica
69;Gudbrandsdalsost
44;Gula
44;Malacca
26;Gumbär
26;Gummibärchen
22;Gustaf's
22;Knäckebröd
10;Ikura
36;Inlagd
36;Sill
43;Ipoh
43;Coffee
41;Jack's
41;New
41;England
41;Clam
41;Chowder
13;Konbu
76;Lakkalikööri
67;Laughing
67;Lumberjack
67;Lager
74;Longlife
74;Tofu
65;Louisiana
65;Fiery
65;Hot
65;Pepper
65;Sauce
66;Louisiana
66;Hot
66;Spiced
66;Okra
51;Manjimup
51;Dried
51;Apples
32;Mascarpone
32;Fabioli
49;Maxilaku
9;Mishi
9;Kobe
9;Niku
72;Mozzarella
72;di
72;Giovanni
30;Nord-Ost
30;Matjeshering
8;Northwoods
8;Cranberry
8;Sauce
25;NuNuCa
25;Nuß-Nougat-Creme
77;Original
77;Frankfurter
77;grüne
77;Soße
70;Outback
70;Lager
55;Pâté
55;chinois
16;Pavlova
53;Perth
53;Pasties
11;Queso
11;Cabrales
12;Queso
12;Manchego
12;La
12;Pastora
59;Raclette
59;Courdavault
57;Ravioli
57;Angelo
75;Rhönbräu
75;Klosterbier
73;Röd
73;Kaviar
45;Rogede
45;sild
28;Rössle
28;Sauerkraut
34;Sasquatch
34;Ale
27;Schoggi
27;Schokolade
68;Scottish
68;Longbreads
42;Singaporean
42;Hokkien
42;Fried
42;Mee
20;Sir
20;Rodney's
20;Marmalade
21;Sir
21;Rodney's
21;Scones
61;Sirop
61;d'érable
46;Spegesild
35;Steeleye
35;Stout
62;Tarte
62;au
62;sucre
19;Teatime
19;Chocolate
19;Biscuits
29;Thüringer
29;Rostbratwurst
14;Tofu
54;Tourtiere
23;Tunnbröd
7;Uncle
7;Bob's
7;Organic
7;Dried
7;Pears
50;Valkoinen
50;suklaa
63;Vegie-spread
64;Wimmers
64;gute
64;Semmelknödel
47;Zaanse
47;koeken
