OrderID;CustomerName;RegionCode
<class 'int'>;<class 'str'>;<class 'str'>
10256;Wellington Importadora;SP
10268;GROSELLA-Restaurante;DF
10269;White Clover Markets;WA
10290;Comércio Mineiro;SP
10292;Tradiçao Hipermercados;SP
10307;Lonesome Pine Restaurant;OR
10310;The Big Cheese;OR
10317;Lonesome Pine Restaurant;OR
10344;White Clover Markets;WA
10347;Familia Arquibaldo;SP
10372;Queen Cozinha;SP
10375;Hungry Coyote Import Store;OR
10386;Familia Arquibaldo;SP
10389;Bottom-Dollar Markets;BC
10394;Hungry Coyote Import Store;OR
10406;Queen Cozinha;SP
10410;Bottom-Dollar Markets;BC
10411;Bottom-Dollar Markets;BC
10414;Familia Arquibaldo;SP
10415;Hungry Coyote Import Store;OR
10420;Wellington Importadora;SP
10423;Gourmet Lanchonetes;SP
10431;Bottom-Dollar Markets;BC
10466;Comércio Mineiro;SP
10469;White Clover Markets;WA
10482;Lazy K Kountry Store;WA
10483;White Clover Markets;WA
10487;Queen Cozinha;SP
10492;Bottom-Dollar Markets;BC
10494;Comércio Mineiro;SP
10495;Laughing Bacchus Wine Cellars;BC
10496;Tradiçao Hipermercados;SP
10504;White Clover Markets;WA
10512;Familia Arquibaldo;SP
10528;Great Lakes Food Market;OR
10544;Lonesome Pine Restaurant;OR
10545;Lazy K Kountry Store;WA
10574;Trail's Head Gourmet Provisioners;WA
10577;Trail's Head Gourmet Provisioners;WA
10579;Let's Stop N Shop;CA
10581;Familia Arquibaldo;SP
10585;Wellington Importadora;SP
10589;Great Lakes Food Market;OR
10596;White Clover Markets;WA
10600;Hungry Coyote Import Store;OR
10606;Tradiçao Hipermercados;SP
10616;Great Lakes Food Market;OR
10617;Great Lakes Food Market;OR
10620;Laughing Bacchus Wine Cellars;BC
10637;Queen Cozinha;SP
10644;Wellington Importadora;SP
10650;Familia Arquibaldo;SP
10652;Gourmet Lanchonetes;SP
10656;Great Lakes Food Market;OR
10659;Queen Cozinha;SP
10660;Hungry Coyote Import Store;OR
10662;Lonesome Pine Restaurant;OR
10665;Lonesome Pine Restaurant;OR
10681;Great Lakes Food Market;OR
10685;Gourmet Lanchonetes;SP
10693;White Clover Markets;WA
10696;White Clover Markets;WA
10704;Queen Cozinha;SP
10708;The Big Cheese;OR
10709;Gourmet Lanchonetes;SP
10719;Let's Stop N Shop;CA
10723;White Clover Markets;WA
10725;Familia Arquibaldo;SP
10728;Queen Cozinha;SP
10734;Gourmet Lanchonetes;SP
10735;Let's Stop N Shop;CA
10740;White Clover Markets;WA
10742;Bottom-Dollar Markets;BC
10777;Gourmet Lanchonetes;SP
10785;GROSELLA-Restaurante;DF
10786;Queen Cozinha;SP
10790;Gourmet Lanchonetes;SP
10803;Wellington Importadora;SP
10805;The Big Cheese;OR
10809;Wellington Importadora;SP
10810;Laughing Bacchus Wine Cellars;BC
10816;Great Lakes Food Market;OR
10822;Trail's Head Gourmet Provisioners;WA
10830;Tradiçao Hipermercados;SP
10834;Tradiçao Hipermercados;SP
10839;Tradiçao Hipermercados;SP
10861;White Clover Markets;WA
10867;Lonesome Pine Restaurant;OR
10868;Queen Cozinha;SP
10883;Lonesome Pine Restaurant;OR
10884;Let's Stop N Shop;CA
10900;Wellington Importadora;SP
10904;White Clover Markets;WA
10905;Wellington Importadora;SP
10913;Queen Cozinha;SP
10914;Queen Cozinha;SP
10918;Bottom-Dollar Markets;BC
10935;Wellington Importadora;SP
10936;Great Lakes Food Market;OR
10944;Bottom-Dollar Markets;BC
10949;Bottom-Dollar Markets;BC
10959;Gourmet Lanchonetes;SP
10961;Queen Cozinha;SP
10969;Comércio Mineiro;SP
10975;Bottom-Dollar Markets;BC
10982;Bottom-Dollar Markets;BC
10992;The Big Cheese;OR
11006;Great Lakes Food Market;OR
11018;Lonesome Pine Restaurant;OR
11027;Bottom-Dollar Markets;BC
11032;White Clover Markets;WA
11040;Great Lakes Food Market;OR
11042;Comércio Mineiro;SP
11045;Bottom-Dollar Markets;BC
11048;Bottom-Dollar Markets;BC
11049;Gourmet Lanchonetes;SP
11061;Great Lakes Food Market;OR
11066;White Clover Markets;WA
11068;Queen Cozinha;SP
