OrderID;CustomerName;RegionCode
<class 'int'>;<class 'str'>;<class 'str'>
10248;Vins et alcools Chevalier;None
10249;Toms Spezialitäten;None
10251;Victuailles en stock;None
10260;Ottilies Käseladen;None
10265;Blondesddsl pere et fils;None
10267;Frankenversand;None
10273;QUICK-Stop;None
10274;Vins et alcools Chevalier;None
10275;Magazzini Alimentari Riuniti;None
10277;Morgenstern Gesundkost;None
10279;Lehmanns Marktstand;None
10284;Lehmanns Marktstand;None
10285;QUICK-Stop;None
10286;QUICK-Stop;None
10288;Reggiani Caseifici;None
10289;B's Beverages;None
10295;Vins et alcools Chevalier;None
10297;Blondesddsl pere et fils;None
10300;Magazzini Alimentari Riuniti;None
10301;Die Wandernde Kuh;None
10311;Du monde entier;None
10312;Die Wandernde Kuh;None
10313;QUICK-Stop;None
10315;Island Trading;Isle of Wight
10318;Island Trading;Isle of Wight
10321;Island Trading;Isle of Wight
10323;Königlich Essen;None
10325;Königlich Essen;None
10331;Bon app';None
10334;Victuailles en stock;None
10337;Frankenversand;None
10340;Bon app';None
10342;Frankenversand;None
10343;Lehmanns Marktstand;None
10345;QUICK-Stop;None
10348;Die Wandernde Kuh;None
10350;La maison d'Asie;None
10355;Around the Horn;None
10356;Die Wandernde Kuh;None
10358;La maison d'Asie;None
10359;Seven Seas Imports;None
10360;Blondesddsl pere et fils;None
10361;QUICK-Stop;None
10362;Bon app';None
10363;Drachenblut Delikatessen;None
10364;Eastern Connection;None
10371;La maison d'Asie;None
10377;Seven Seas Imports;None
10383;Around the Horn;None
10387;Santé Gourmet;None
10388;Seven Seas Imports;None
10391;Drachenblut Delikatessen;None
10396;Frankenversand;None
10400;Eastern Connection;None
10404;Magazzini Alimentari Riuniti;None
10407;Ottilies Käseladen;None
10408;Folies gourmandes;None
10413;La maison d'Asie;None
10418;QUICK-Stop;None
10422;Franchi S.p.A.;None
10425;La maison d'Asie;None
10428;Reggiani Caseifici;None
10435;Consolidated Holdings;None
10436;Blondesddsl pere et fils;None
10438;Toms Spezialitäten;None
10443;Reggiani Caseifici;None
10446;Toms Spezialitäten;None
10449;Blondesddsl pere et fils;None
10450;Victuailles en stock;None
10451;QUICK-Stop;None
10453;Around the Horn;None
10454;La maison d'Asie;None
10456;Königlich Essen;None
10457;Königlich Essen;None
10459;Victuailles en stock;None
10462;Consolidated Holdings;None
10467;Magazzini Alimentari Riuniti;None
10468;Königlich Essen;None
10470;Bon app';None
10471;B's Beverages;None
10472;Seven Seas Imports;None
10473;Island Trading;Isle of Wight
10478;Victuailles en stock;None
10480;Folies gourmandes;None
10484;B's Beverages;None
10488;Frankenversand;None
10493;La maison d'Asie;None
10497;Lehmanns Marktstand;None
10500;La maison d'Asie;None
10501;Blauer See Delikatessen;None
10506;Königlich Essen;None
10508;Ottilies Käseladen;None
10509;Blauer See Delikatessen;None
10511;Bon app';None
10513;Die Wandernde Kuh;None
10515;QUICK-Stop;None
10517;North/South;None
10520;Santé Gourmet;None
10522;Lehmanns Marktstand;None
10523;Seven Seas Imports;None
10525;Bon app';None
10527;QUICK-Stop;None
10532;Eastern Connection;None
10534;Lehmanns Marktstand;None
10536;Lehmanns Marktstand;None
10538;B's Beverages;None
10539;B's Beverages;None
10540;QUICK-Stop;None
10542;Königlich Essen;None
10546;Victuailles en stock;None
10547;Seven Seas Imports;None
10548;Toms Spezialitäten;None
10549;QUICK-Stop;None
10554;Ottilies Käseladen;None
10557;Lehmanns Marktstand;None
10558;Around the Horn;None
10559;Blondesddsl pere et fils;None
10560;Frankenversand;None
10562;Reggiani Caseifici;None
10566;Blondesddsl pere et fils;None
10575;Morgenstern Gesundkost;None
10578;B's Beverages;None
10580;Ottilies Käseladen;None
10582;Blauer See Delikatessen;None
10584;Blondesddsl pere et fils;None
10586;Reggiani Caseifici;None
10588;QUICK-Stop;None
10592;Lehmanns Marktstand;None
10593;Lehmanns Marktstand;None
10599;B's Beverages;None
10608;Toms Spezialitäten;None
10609;Du monde entier;None
10610;La maison d'Asie;None
10614;Blauer See Delikatessen;None
10621;Island Trading;Isle of Wight
10623;Frankenversand;None
10628;Blondesddsl pere et fils;None
10630;Königlich Essen;None
10631;La maison d'Asie;None
10632;Die Wandernde Kuh;None
10634;Folies gourmandes;None
10635;Magazzini Alimentari Riuniti;None
10639;Santé Gourmet;None
10640;Die Wandernde Kuh;None
10643;Alfreds Futterkiste;None
10651;Die Wandernde Kuh;None
10653;Frankenversand;None
10655;Reggiani Caseifici;None
10658;QUICK-Stop;None
10663;Bon app';None
10668;Die Wandernde Kuh;None
10670;Frankenversand;None
10671;France restauration;None
10674;Island Trading;Isle of Wight
10675;Frankenversand;None
10679;Blondesddsl pere et fils;None
10683;Du monde entier;None
10684;Ottilies Käseladen;None
10691;QUICK-Stop;None
10692;Alfreds Futterkiste;None
10694;QUICK-Stop;None
10699;Morgenstern Gesundkost;None
10702;Alfreds Futterkiste;None
10707;Around the Horn;None
10710;Franchi S.p.A.;None
10715;Bon app';None
10717;Frankenversand;None
10718;Königlich Essen;None
10721;QUICK-Stop;None
10726;Eastern Connection;None
10727;Reggiani Caseifici;None
10730;Bon app';None
10732;Bon app';None
10737;Vins et alcools Chevalier;None
10738;Spécialités du monde;None
10739;Vins et alcools Chevalier;None
10741;Around the Horn;None
10743;Around the Horn;None
10745;QUICK-Stop;None
10749;Island Trading;Isle of Wight
10752;North/South;None
10753;Franchi S.p.A.;None
10754;Magazzini Alimentari Riuniti;None
10755;Bon app';None
10763;Folies gourmandes;None
10765;QUICK-Stop;None
10766;Ottilies Käseladen;None
10768;Around the Horn;None
10772;Lehmanns Marktstand;None
10779;Morgenstern Gesundkost;None
10784;Magazzini Alimentari Riuniti;None
10787;La maison d'Asie;None
10788;QUICK-Stop;None
10789;Folies gourmandes;None
10791;Frankenversand;None
10793;Around the Horn;None
10797;Drachenblut Delikatessen;None
10798;Island Trading;Isle of Wight
10799;Königlich Essen;None
10800;Seven Seas Imports;None
10804;Seven Seas Imports;None
10806;Victuailles en stock;None
10807;Franchi S.p.A.;None
10812;Reggiani Caseifici;None
10814;Victuailles en stock;None
10817;Königlich Essen;None
10818;Magazzini Alimentari Riuniti;None
10825;Drachenblut Delikatessen;None
10826;Blondesddsl pere et fils;None
10827;Bon app';None
10829;Island Trading;Isle of Wight
10831;Santé Gourmet;None
10832;La maison d'Asie;None
10833;Ottilies Käseladen;None
10835;Alfreds Futterkiste;None
10843;Victuailles en stock;None
10845;QUICK-Stop;None
10848;Consolidated Holdings;None
10849;Königlich Essen;None
10850;Victuailles en stock;None
10853;Blauer See Delikatessen;None
10858;La corne d'abondance;None
10859;Frankenversand;None
10860;France restauration;None
10862;Lehmanns Marktstand;None
10864;Around the Horn;None
10865;QUICK-Stop;None
10869;Seven Seas Imports;None
10871;Bon app';None
10876;Bon app';None
10878;QUICK-Stop;None
10890;Du monde entier;None
10891;Lehmanns Marktstand;None
10893;Königlich Essen;None
10907;Spécialités du monde;None
10908;Reggiani Caseifici;None
10909;Santé Gourmet;None
10920;Around the Horn;None
10923;La maison d'Asie;None
10927;La corne d'abondance;None
10929;Frankenversand;None
10932;Bon app';None
10933;Island Trading;Isle of Wight
10934;Lehmanns Marktstand;None
10938;QUICK-Stop;None
10939;Magazzini Alimentari Riuniti;None
10940;Bon app';None
10942;Reggiani Caseifici;None
10943;B's Beverages;None
10945;Morgenstern Gesundkost;None
10947;B's Beverages;None
10950;Magazzini Alimentari Riuniti;None
10952;Alfreds Futterkiste;None
10953;Around the Horn;None
10956;Blauer See Delikatessen;None
10962;QUICK-Stop;None
10964;Spécialités du monde;None
10967;Toms Spezialitäten;None
10971;France restauration;None
10972;La corne d'abondance;None
10973;La corne d'abondance;None
10987;Eastern Connection;None
10991;QUICK-Stop;None
10996;QUICK-Stop;None
10999;Ottilies Käseladen;None
11010;Reggiani Caseifici;None
11011;Alfreds Futterkiste;None
11012;Frankenversand;None
11015;Santé Gourmet;None
11016;Around the Horn;None
11020;Ottilies Käseladen;None
11021;QUICK-Stop;None
11023;B's Beverages;None
11024;Eastern Connection;None
11026;Franchi S.p.A.;None
11028;Königlich Essen;None
11036;Drachenblut Delikatessen;None
11043;Spécialités du monde;None
11046;Die Wandernde Kuh;None
11047;Eastern Connection;None
11051;La maison d'Asie;None
11056;Eastern Connection;None
11057;North/South;None
11058;Blauer See Delikatessen;None
11060;Franchi S.p.A.;None
11062;Reggiani Caseifici;None
11067;Drachenblut Delikatessen;None
11070;Lehmanns Marktstand;None
11076;Bon app';None
