BenchmarkID;SupplierID;RevenueContribution;CategoryRevenueReference;MarketSharePercentage
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>;<class 'decimal.Decimal'>;<class 'decimal.Decimal'>
1879;1;32836.80;286526.95;0.11460283229902108684
1880;1;3080.00;113694.75;0.02709008111632243353
1881;2;33351.95;113694.75;0.29334643859984739840
1882;3;21105.00;113694.75;0.18562862401298212978
1883;3;22464.00;105268.60;0.21339696737678662013
1884;4;8827.00;178188.80;0.04953734465914804970
1885;4;2566.00;105268.60;0.02437573977425367108
1886;4;22140.20;141623.09;0.15633185238367557154
1887;5;26768.80;251330.50;0.10650836249480266024
1888;6;1813.50;113694.75;0.01595060457936712117
1889;6;8630.40;105268.60;0.08198456139817571431
1890;6;5234.40;141623.09;0.03696007480136184007
1891;7;11472.00;286526.95;0.04003811857837456476
1892;7;17696.30;113694.75;0.15564746833077164952
1893;7;18748.05;177099.10;0.10586191572966773970
1894;7;35482.20;178188.80;0.19912699339127936211
1895;7;31987.50;141623.09;0.22586359328835432131
1896;8;48793.80;177099.10;0.27551692809280227849
1897;9;12072.60;100726.80;0.11985489462585925493
1898;10;4782.60;286526.95;0.01669162359771044224
1899;11;40818.00;177099.10;0.23048112610397229573
1900;12;8650.55;286526.95;0.03019105183648518926
1901;12;9685.00;113694.75;0.08518423234142297687
1902;12;23009.00;100726.80;0.22842977241409436217
1903;12;87736.40;178188.80;0.49237887005243876158
1904;12;26865.60;105268.60;0.25521000564270827198
1905;13;14775.54;141623.09;0.10433002132632468335
1906;14;51082.50;251330.50;0.20324831248097624442
1907;15;46897.20;251330.50;0.18659573748510427504
1908;16;23776.80;286526.95;0.08298277003262694835
1909;17;21789.80;141623.09;0.15385767956341017555
1910;18;163135.00;286526.95;0.56935307481547547272
1911;19;28146.40;141623.09;0.19874160350547357779
1912;20;25079.20;286526.95;0.08752824123524855166
1913;20;10524.20;113694.75;0.09256539989753264772
1914;20;9332.40;100726.80;0.09265061532779756728
1915;21;10884.50;141623.09;0.07685540542859218789
1916;22;5901.35;177099.10;0.03332230372712227221
1917;23;16794.00;286526.95;0.05861228760505774413
1918;23;13010.00;177099.10;0.07346169461053161760
1919;24;3383.80;100726.80;0.03359383997109011702
1920;24;21510.20;178188.80;0.12071578011637095036
1921;24;44742.60;105268.60;0.42503272580807572248
1922;25;24633.00;178188.80;0.13824101178076287623
1923;26;52929.00;100726.80;0.52547087766115869857
1924;27;6664.75;141623.09;0.04705976970280764245
1925;28;126582.00;251330.50;0.50364758753911682028
1926;29;16438.80;113694.75;0.14458715112175364297
1927;29;49827.90;177099.10;0.28135603173590379623
