SCID;ProdID;SourcingStatus
<class 'int'>;<class 'int'>;<class 'str'>
129;1;Verified: Exotic Liquids
130;2;Verified: Exotic Liquids
131;3;Verified: Exotic Liquids
132;4;Verified: New Orleans Cajun Delights
133;5;Verified: New Orleans Cajun Delights
134;6;Verified: Grandma Kelly's Homestead
135;7;Verified: Grandma Kelly's Homestead
136;8;Verified: Grandma Kelly's Homestead
137;9;Verified: Tokyo Traders
138;10;Verified: Tokyo Traders
139;11;Verified: Cooperativa de Quesos 'Las Cabras'
140;12;Verified: Cooperativa de Quesos 'Las Cabras'
141;13;Verified: Mayumi's
142;14;Verified: Mayumi's
143;15;Verified: Mayumi's
144;16;Verified: Pavlova, Ltd.
145;17;Verified: Pavlova, Ltd.
146;18;Verified: Pavlova, Ltd.
147;19;Verified: Specialty Biscuits, Ltd.
148;20;Verified: Specialty Biscuits, Ltd.
149;21;Verified: Specialty Biscuits, Ltd.
150;22;Verified: PB Knäckebröd AB
151;23;Verified: PB Knäckebröd AB
152;24;Verified: Refrescos Americanas LTDA
153;25;Verified: Heli Süßwaren GmbH & Co. KG
154;26;Verified: Heli Süßwaren GmbH & Co. KG
155;27;Verified: Heli Süßwaren GmbH & Co. KG
156;28;Verified: Plutzer Lebensmittelgroßmärkte AG
157;29;Verified: Plutzer Lebensmittelgroßmärkte AG
158;30;Verified: Nord-Ost-Fisch Handelsgesellschaft mbH
159;31;Verified: Formaggi Fortini s.r.l.
160;32;Verified: Formaggi Fortini s.r.l.
161;33;Verified: Norske Meierier
162;34;Verified: Bigfoot Breweries
163;35;Verified: Bigfoot Breweries
164;36;Verified: Svensk Sjöföda AB
165;37;Verified: Svensk Sjöföda AB
166;38;Verified: Aux joyeux ecclésiastiques
167;39;Verified: Aux joyeux ecclésiastiques
168;40;Verified: New England Seafood Cannery
169;41;Verified: New England Seafood Cannery
170;42;Verified: Leka Trading
171;43;Verified: Leka Trading
172;44;Verified: Leka Trading
173;45;Verified: Lyngbysild
174;46;Verified: Lyngbysild
175;47;Verified: Zaanse Snoepfabriek
176;48;Verified: Zaanse Snoepfabriek
177;49;Verified: Karkki Oy
178;50;Verified: Karkki Oy
179;51;Verified: G'day, Mate
180;52;Verified: G'day, Mate
181;53;Verified: G'day, Mate
182;54;Verified: Ma Maison
183;55;Verified: Ma Maison
184;56;Verified: Pasta Buttini s.r.l.
185;57;Verified: Pasta Buttini s.r.l.
186;58;Verified: Escargots Nouveaux
187;59;Verified: Gai pâturage
188;60;Verified: Gai pâturage
189;61;Verified: Forets d'érables
190;62;Verified: Forets d'érables
191;63;Verified: Pavlova, Ltd.
192;64;Verified: Plutzer Lebensmittelgroßmärkte AG
193;65;Verified: New Orleans Cajun Delights
194;66;Verified: New Orleans Cajun Delights
195;67;Verified: Bigfoot Breweries
196;68;Verified: Specialty Biscuits, Ltd.
197;69;Verified: Norske Meierier
198;70;Verified: Pavlova, Ltd.
199;71;Verified: Norske Meierier
200;72;Verified: Formaggi Fortini s.r.l.
201;73;Verified: Svensk Sjöföda AB
202;74;Verified: Tokyo Traders
203;75;Verified: Plutzer Lebensmittelgroßmärkte AG
204;76;Verified: Karkki Oy
205;77;Verified: Plutzer Lebensmittelgroßmärkte AG
