ContactID;DisplayName;ContactPhone
<class 'int'>;<class 'str'>;<class 'str'>
744;Alfreds Futterkiste;030-0074321
745;Ana Trujillo Emparedados y helados;(5) 555-4729
746;Antonio Moreno Taquería;(5) 555-3932
747;Around the Horn;(171) 555-7788
748;Berglunds snabbköp;0921-12 34 65
749;Blauer See Delikatessen;0621-08460
750;Blondesddsl pere et fils;88.60.15.31
751;Bon app';91.24.45.40
752;Bottom-Dollar Markets;(604) 555-4729
753;Bólido Comidas preparadas;(91) 555 22 82
754;B's Beverages;(171) 555-1212
755;Cactus Comidas para llevar;(1) 135-5555
756;Centro comercial Moctezuma;(5) 555-3392
757;Chop-suey Chinese;0452-076545
758;Comércio Mineiro;(11) 555-7647
759;Consolidated Holdings;(171) 555-2282
760;Die Wandernde Kuh;0711-020361
761;Drachenblut Delikatessen;0241-039123
762;Du monde entier;40.67.88.88
763;Eastern Connection;(171) 555-0297
764;Ernst Handel;7675-3425
765;Familia Arquibaldo;(11) 555-9857
766;Federal Shipping;(503) 555-9931
767;FISSA Fabrica Inter. Salchichas S.A.;(91) 555 94 44
768;Folies gourmandes;20.16.10.16
769;Folk och fä HB;0695-34 67 21
770;France restauration;40.32.21.21
771;Franchi S.p.A.;011-4988260
772;Frankenversand;089-0877310
773;Furia Bacalhau e Frutos do Mar;(1) 354-2534
774;Galería del gastrónomo;(93) 203 4560
775;Godos Cocina Típica;(95) 555 82 82
776;Gourmet Lanchonetes;(11) 555-9482
777;Great Lakes Food Market;(503) 555-7555
778;GROSELLA-Restaurante;(2) 283-2951
779;Hanari Carnes;(21) 555-0091
780;HILARION-Abastos;(5) 555-1340
781;Hungry Coyote Import Store;(503) 555-6874
782;Hungry Owl All-Night Grocers;2967 542
783;Island Trading;(198) 555-8888
784;Königlich Essen;0555-09876
785;La corne d'abondance;30.59.84.10
786;La maison d'Asie;61.77.61.10
787;Laughing Bacchus Wine Cellars;(604) 555-3392
788;Lazy K Kountry Store;(509) 555-7969
789;Lehmanns Marktstand;069-0245984
790;Let's Stop N Shop;(415) 555-5938
791;LILA-Supermercado;(9) 331-6954
792;LINO-Delicateses;(8) 34-56-12
793;Lonesome Pine Restaurant;(503) 555-9573
794;Magazzini Alimentari Riuniti;035-640230
795;Maison Dewey;(02) 201 24 67
796;Mere Paillarde;(514) 555-8054
797;Morgenstern Gesundkost;0342-023176
798;North/South;(171) 555-7733
799;Océano Atlántico Ltda.;(1) 135-5333
800;Old World Delicatessen;(907) 555-7584
801;Ottilies Käseladen;0221-0644327
802;Paris spécialités;(1) 42.34.22.66
803;Pericles Comidas clásicas;(5) 552-3745
804;Piccolo und mehr;6562-9722
805;Princesa Isabel Vinhos;(1) 356-5634
806;Que Delícia;(21) 555-4252
