InventoryID;ProductID;Value;ValueCategory
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>;<class 'str'>
304;1;702.00;High Value
305;2;323.00;Low Value
306;3;130.00;Low Value
307;4;1166.00;High Value
308;5;0.00;Low Value
309;6;3000.00;High Value
310;7;450.00;Low Value
311;8;240.00;Low Value
312;9;2813.00;High Value
313;10;961.00;High Value
314;11;462.00;Low Value
315;12;3268.00;High Value
316;13;144.00;Low Value
317;14;813.75;High Value
318;15;604.50;High Value
319;16;506.05;High Value
320;17;0.00;Low Value
321;18;2625.00;High Value
322;19;230.00;Low Value
323;20;3240.00;High Value
324;21;30.00;Low Value
325;22;2184.00;High Value
326;23;549.00;High Value
327;24;90.00;Low Value
328;25;1064.00;High Value
329;26;468.45;Low Value
330;27;2151.10;High Value
331;28;1185.60;High Value
332;29;0.00;Low Value
333;30;258.90;Low Value
334;31;0.00;Low Value
335;32;288.00;Low Value
336;33;280.00;Low Value
337;34;1554.00;High Value
338;35;360.00;Low Value
339;36;2128.00;High Value
340;37;286.00;Low Value
341;38;4479.50;High Value
342;39;1242.00;High Value
343;40;2263.20;High Value
344;41;820.25;High Value
345;42;364.00;Low Value
346;43;782.00;High Value
347;44;525.15;High Value
348;45;47.50;Low Value
349;46;1140.00;High Value
350;47;342.00;Low Value
351;48;191.25;Low Value
352;49;200.00;Low Value
353;50;1056.25;High Value
354;51;1060.00;High Value
355;52;266.00;Low Value
356;53;0.00;Low Value
357;54;156.45;Low Value
358;55;2760.00;High Value
359;56;798.00;High Value
360;57;702.00;High Value
361;58;821.50;High Value
362;59;4345.00;High Value
363;60;646.00;High Value
364;61;3220.50;High Value
365;62;838.10;High Value
366;63;1053.60;High Value
