ContactName;PrimaryCompanyName;LatestAddress;PrimaryCity;DuplicateSourceCount
<class 'str'>;<class 'str'>;<class 'str'>;<class 'str'>;<class 'int'>
Anne Heikkonen;Karkki Oy;Valtakatu 12;Lappeenranta;1
Antonio del Valle Saavedra;Cooperativa de Quesos 'Las Cabras';Calle del Rosal 4;Oviedo;1
Beate Vileid;Norske Meierier;Hatlevegen 5;Sandvika;1
Carlos Diaz;Refrescos Americanas LTDA;Av. das Americanas 12.890;Sao Paulo;1
Chandra Leka;Leka Trading;471 Serangoon Loop, Suite #402;Singapore;1
Chantal Goulet;Forets d'érables;148 rue Chasseur;Ste-Hyacinthe;1
Charlotte Cooper;Exotic Liquids;49 Gilbert St.;London;1
Cheryl Saylor;Bigfoot Breweries;3400 - 8th Avenue Suite 210;Bend;1
Dirk Luchte;Zaanse Snoepfabriek;Verkoop Rijnweg 22;Zaandam;1
Eliane Noz;Gai pâturage;Bat. B 3, rue des Alpes;Annecy;1
Elio Rossi;Formaggi Fortini s.r.l.;Viale Dante, 75;Ravenna;1
Giovanni Giudici;Pasta Buttini s.r.l.;Via dei Gelsomini, 153;Salerno;1
Guylene Nodier;Aux joyeux ecclésiastiques;203, Rue des Francs-Bourgeois;Paris;1
Ian Devling;Pavlova, Ltd.;74 Rose St. Moonie Ponds;Melbourne;1
Jean-Guy Lauzon;Ma Maison;2960 Rue St. Laurent;Montréal;1
Lars Peterson;PB Knäckebröd AB;Kaloadagatan 13;Göteborg;1
Marie Delamare;Escargots Nouveaux;22, rue H. Voiron;Montceau;1
Martin Bein;Plutzer Lebensmittelgroßmärkte AG;Bogenallee 51;Frankfurt;1
Mayumi Ohno;Mayumi's;92 Setsuko Chuo-ku;Osaka;1
Michael Björn;Svensk Sjöföda AB;Brovallavägen 231;Stockholm;1
Niels Petersen;Lyngbysild;Lyngbysild Fiskebakken 10;Lyngby;1
Peter Wilson;Specialty Biscuits, Ltd.;29 King's Way;Manchester;1
Petra Winkler;Heli Süßwaren GmbH & Co. KG;Tiergartenstraße 5;Berlin;1
Regina Murphy;Grandma Kelly's Homestead;707 Oxford Rd.;Ann Arbor;1
Robb Merchant;New England Seafood Cannery;Order Processing Dept. 2100 Paul Revere Blvd.;Boston;1
Shelley Burke;New Orleans Cajun Delights;P.O. Box 78934;New Orleans;1
Sven Petersen;Nord-Ost-Fisch Handelsgesellschaft mbH;Frahmredder 112a;Cuxhaven;1
Wendy Mackenzie;G'day, Mate;170 Prince Edward Parade Hunter's Hill;Sydney;1
Yoshi Nagase;Tokyo Traders;9-8 Sekimai Musashino-shi;Tokyo;1
