OrderID;ProductID;ProductName;LineItemTotal;ShippedDate;ShipCountry
<class 'int'>;<class 'int'>;<class 'str'>;<class 'decimal.Decimal'>;<class 'str'>;<class 'str'>
10248;11;Queso Cabrales;168.0000;1996-07-16 00:00:00;France
10248;42;Singaporean Hokkien Fried Mee;98.0000;1996-07-16 00:00:00;France
10248;72;Mozzarella di Giovanni;174.0000;1996-07-16 00:00:00;France
10249;14;Tofu;167.4000;1996-07-10 00:00:00;Germany
10249;51;Manjimup Dried Apples;1696.0000;1996-07-10 00:00:00;Germany
10250;41;Jack's New England Clam Chowder;77.0000;1996-07-12 00:00:00;Brazil
10250;51;Manjimup Dried Apples;1484.0000;1996-07-12 00:00:00;Brazil
10250;65;Louisiana Fiery Hot Pepper Sauce;252.0000;1996-07-12 00:00:00;Brazil
10251;22;Gustaf's Knäckebröd;100.8000;1996-07-15 00:00:00;France
10251;57;Ravioli Angelo;234.0000;1996-07-15 00:00:00;France
10251;65;Louisiana Fiery Hot Pepper Sauce;336.0000;1996-07-15 00:00:00;France
10252;20;Sir Rodney's Marmalade;2592.0000;1996-07-11 00:00:00;Belgium
10252;33;Geitost;50.0000;1996-07-11 00:00:00;Belgium
10252;60;Camembert Pierrot;1088.0000;1996-07-11 00:00:00;Belgium
10253;31;Gorgonzola Telino;200.0000;1996-07-16 00:00:00;Brazil
10253;39;Chartreuse verte;604.8000;1996-07-16 00:00:00;Brazil
10253;49;Maxilaku;640.0000;1996-07-16 00:00:00;Brazil
10254;24;Guaraná Fantástica;54.0000;1996-07-23 00:00:00;Switzerland
10254;55;Pâté chinois;403.2000;1996-07-23 00:00:00;Switzerland
10254;74;Longlife Tofu;168.0000;1996-07-23 00:00:00;Switzerland
10255;2;Chang;304.0000;1996-07-15 00:00:00;Switzerland
10255;16;Pavlova;486.5000;1996-07-15 00:00:00;Switzerland
10255;36;Inlagd Sill;380.0000;1996-07-15 00:00:00;Switzerland
10255;59;Raclette Courdavault;1320.0000;1996-07-15 00:00:00;Switzerland
10256;53;Perth Pasties;393.0000;1996-07-17 00:00:00;Brazil
10256;77;Original Frankfurter grüne Soße;124.8000;1996-07-17 00:00:00;Brazil
10257;27;Schoggi Schokolade;877.5000;1996-07-22 00:00:00;Venezuela
10257;39;Chartreuse verte;86.4000;1996-07-22 00:00:00;Venezuela
10257;77;Original Frankfurter grüne Soße;156.0000;1996-07-22 00:00:00;Venezuela
10258;2;Chang;760.0000;1996-07-23 00:00:00;Austria
10258;5;Chef Anton's Gumbo Mix;1105.0000;1996-07-23 00:00:00;Austria
10258;32;Mascarpone Fabioli;153.6000;1996-07-23 00:00:00;Austria
10259;21;Sir Rodney's Scones;80.0000;1996-07-25 00:00:00;Mexico
10259;37;Gravad lax;20.8000;1996-07-25 00:00:00;Mexico
10260;41;Jack's New England Clam Chowder;123.2000;1996-07-29 00:00:00;Germany
10260;57;Ravioli Angelo;780.0000;1996-07-29 00:00:00;Germany
10260;62;Tarte au sucre;591.0000;1996-07-29 00:00:00;Germany
10260;70;Outback Lager;252.0000;1996-07-29 00:00:00;Germany
10261;21;Sir Rodney's Scones;160.0000;1996-07-30 00:00:00;Brazil
10261;35;Steeleye Stout;288.0000;1996-07-30 00:00:00;Brazil
10262;5;Chef Anton's Gumbo Mix;204.0000;1996-07-25 00:00:00;USA
10262;7;Uncle Bob's Organic Dried Pears;360.0000;1996-07-25 00:00:00;USA
10262;56;Gnocchi di nonna Alice;60.8000;1996-07-25 00:00:00;USA
10263;16;Pavlova;834.0000;1996-07-31 00:00:00;Austria
10263;24;Guaraná Fantástica;100.8000;1996-07-31 00:00:00;Austria
10263;30;Nord-Ost Matjeshering;1242.0000;1996-07-31 00:00:00;Austria
10263;74;Longlife Tofu;288.0000;1996-07-31 00:00:00;Austria
10264;2;Chang;532.0000;1996-08-23 00:00:00;Sweden
10264;41;Jack's New England Clam Chowder;192.5000;1996-08-23 00:00:00;Sweden
10265;17;Alice Mutton;936.0000;1996-08-12 00:00:00;France
10265;70;Outback Lager;240.0000;1996-08-12 00:00:00;France
10266;12;Queso Manchego La Pastora;364.8000;1996-07-31 00:00:00;Finland
10267;40;Boston Crab Meat;735.0000;1996-08-06 00:00:00;Germany
10267;59;Raclette Courdavault;3080.0000;1996-08-06 00:00:00;Germany
10267;76;Lakkalikööri;216.0000;1996-08-06 00:00:00;Germany
10268;29;Thüringer Rostbratwurst;990.0000;1996-08-02 00:00:00;Venezuela
10268;72;Mozzarella di Giovanni;111.2000;1996-08-02 00:00:00;Venezuela
10269;33;Geitost;120.0000;1996-08-09 00:00:00;USA
10269;72;Mozzarella di Giovanni;556.0000;1996-08-09 00:00:00;USA
10270;36;Inlagd Sill;456.0000;1996-08-02 00:00:00;Finland
10270;43;Ipoh Coffee;920.0000;1996-08-02 00:00:00;Finland
10271;33;Geitost;48.0000;1996-08-30 00:00:00;USA
10272;20;Sir Rodney's Marmalade;388.8000;1996-08-06 00:00:00;USA
10272;31;Gorgonzola Telino;400.0000;1996-08-06 00:00:00;USA
10272;72;Mozzarella di Giovanni;667.2000;1996-08-06 00:00:00;USA
10273;10;Ikura;595.2000;1996-08-12 00:00:00;Germany
10273;31;Gorgonzola Telino;150.0000;1996-08-12 00:00:00;Germany
10273;33;Geitost;40.0000;1996-08-12 00:00:00;Germany
10273;40;Boston Crab Meat;882.0000;1996-08-12 00:00:00;Germany
10273;76;Lakkalikööri;475.2000;1996-08-12 00:00:00;Germany
10274;71;Flotemysost;344.0000;1996-08-16 00:00:00;France
10274;72;Mozzarella di Giovanni;194.6000;1996-08-16 00:00:00;France
10275;24;Guaraná Fantástica;43.2000;1996-08-09 00:00:00;Italy
10275;59;Raclette Courdavault;264.0000;1996-08-09 00:00:00;Italy
10276;10;Ikura;372.0000;1996-08-14 00:00:00;Mexico
10276;13;Konbu;48.0000;1996-08-14 00:00:00;Mexico
10277;28;Rössle Sauerkraut;728.0000;1996-08-13 00:00:00;Germany
10277;62;Tarte au sucre;472.8000;1996-08-13 00:00:00;Germany
10278;44;Gula Malacca;248.0000;1996-08-16 00:00:00;Sweden
10278;59;Raclette Courdavault;660.0000;1996-08-16 00:00:00;Sweden
10278;63;Vegie-spread;280.8000;1996-08-16 00:00:00;Sweden
10278;73;Röd Kaviar;300.0000;1996-08-16 00:00:00;Sweden
10279;17;Alice Mutton;468.0000;1996-08-16 00:00:00;Germany
10280;24;Guaraná Fantástica;43.2000;1996-09-12 00:00:00;Sweden
10280;55;Pâté chinois;384.0000;1996-09-12 00:00:00;Sweden
10280;75;Rhönbräu Klosterbier;186.0000;1996-09-12 00:00:00;Sweden
10281;19;Teatime Chocolate Biscuits;7.3000;1996-08-21 00:00:00;Spain
10281;24;Guaraná Fantástica;21.6000;1996-08-21 00:00:00;Spain
10281;35;Steeleye Stout;57.6000;1996-08-21 00:00:00;Spain
10282;30;Nord-Ost Matjeshering;124.2000;1996-08-21 00:00:00;Spain
10282;57;Ravioli Angelo;31.2000;1996-08-21 00:00:00;Spain
10283;15;Genen Shouyu;248.0000;1996-08-23 00:00:00;Venezuela
10283;19;Teatime Chocolate Biscuits;131.4000;1996-08-23 00:00:00;Venezuela
10283;60;Camembert Pierrot;952.0000;1996-08-23 00:00:00;Venezuela
10283;72;Mozzarella di Giovanni;83.4000;1996-08-23 00:00:00;Venezuela
10284;27;Schoggi Schokolade;526.5000;1996-08-27 00:00:00;Germany
10284;44;Gula Malacca;325.5000;1996-08-27 00:00:00;Germany
10284;60;Camembert Pierrot;544.0000;1996-08-27 00:00:00;Germany
10284;67;Laughing Lumberjack Lager;56.0000;1996-08-27 00:00:00;Germany
10285;1;Chai;648.0000;1996-08-26 00:00:00;Germany
10285;40;Boston Crab Meat;588.0000;1996-08-26 00:00:00;Germany
10285;53;Perth Pasties;943.2000;1996-08-26 00:00:00;Germany
10286;35;Steeleye Stout;1440.0000;1996-08-30 00:00:00;Germany
10286;62;Tarte au sucre;1576.0000;1996-08-30 00:00:00;Germany
10287;16;Pavlova;556.0000;1996-08-28 00:00:00;Brazil
10287;34;Sasquatch Ale;224.0000;1996-08-28 00:00:00;Brazil
10287;46;Spegesild;144.0000;1996-08-28 00:00:00;Brazil
10288;54;Tourtiere;59.0000;1996-09-03 00:00:00;Italy
10288;68;Scottish Longbreads;30.0000;1996-09-03 00:00:00;Italy
10289;3;Aniseed Syrup;240.0000;1996-08-28 00:00:00;UK
10289;64;Wimmers gute Semmelknödel;239.4000;1996-08-28 00:00:00;UK
10290;5;Chef Anton's Gumbo Mix;340.0000;1996-09-03 00:00:00;Brazil
10290;29;Thüringer Rostbratwurst;1485.0000;1996-09-03 00:00:00;Brazil
10290;49;Maxilaku;240.0000;1996-09-03 00:00:00;Brazil
10290;77;Original Frankfurter grüne Soße;104.0000;1996-09-03 00:00:00;Brazil
10291;13;Konbu;96.0000;1996-09-04 00:00:00;Brazil
10291;44;Gula Malacca;372.0000;1996-09-04 00:00:00;Brazil
10291;51;Manjimup Dried Apples;84.8000;1996-09-04 00:00:00;Brazil
10292;20;Sir Rodney's Marmalade;1296.0000;1996-09-02 00:00:00;Brazil
10293;18;Carnarvon Tigers;600.0000;1996-09-11 00:00:00;Mexico
10293;24;Guaraná Fantástica;36.0000;1996-09-11 00:00:00;Mexico
10293;63;Vegie-spread;175.5000;1996-09-11 00:00:00;Mexico
10293;75;Rhönbräu Klosterbier;37.2000;1996-09-11 00:00:00;Mexico
10294;1;Chai;259.2000;1996-09-05 00:00:00;USA
10294;17;Alice Mutton;468.0000;1996-09-05 00:00:00;USA
10294;43;Ipoh Coffee;552.0000;1996-09-05 00:00:00;USA
10294;60;Camembert Pierrot;571.2000;1996-09-05 00:00:00;USA
10294;75;Rhönbräu Klosterbier;37.2000;1996-09-05 00:00:00;USA
10295;56;Gnocchi di nonna Alice;121.6000;1996-09-10 00:00:00;France
10296;11;Queso Cabrales;201.6000;1996-09-11 00:00:00;Venezuela
10296;16;Pavlova;417.0000;1996-09-11 00:00:00;Venezuela
10296;69;Gudbrandsdalsost;432.0000;1996-09-11 00:00:00;Venezuela
10297;39;Chartreuse verte;864.0000;1996-09-10 00:00:00;France
10297;72;Mozzarella di Giovanni;556.0000;1996-09-10 00:00:00;France
10298;2;Chang;608.0000;1996-09-11 00:00:00;Ireland
10298;36;Inlagd Sill;608.0000;1996-09-11 00:00:00;Ireland
10298;59;Raclette Courdavault;1320.0000;1996-09-11 00:00:00;Ireland
10298;62;Tarte au sucre;591.0000;1996-09-11 00:00:00;Ireland
10299;19;Teatime Chocolate Biscuits;109.5000;1996-09-13 00:00:00;Brazil
10299;70;Outback Lager;240.0000;1996-09-13 00:00:00;Brazil
10300;66;Louisiana Hot Spiced Okra;408.0000;1996-09-18 00:00:00;Italy
10300;68;Scottish Longbreads;200.0000;1996-09-18 00:00:00;Italy
10301;40;Boston Crab Meat;147.0000;1996-09-17 00:00:00;Germany
10301;56;Gnocchi di nonna Alice;608.0000;1996-09-17 00:00:00;Germany
10302;17;Alice Mutton;1248.0000;1996-10-09 00:00:00;Belgium
10302;28;Rössle Sauerkraut;1019.2000;1996-10-09 00:00:00;Belgium
10302;43;Ipoh Coffee;441.6000;1996-10-09 00:00:00;Belgium
10303;40;Boston Crab Meat;588.0000;1996-09-18 00:00:00;Spain
10303;65;Louisiana Fiery Hot Pepper Sauce;504.0000;1996-09-18 00:00:00;Spain
10303;68;Scottish Longbreads;150.0000;1996-09-18 00:00:00;Spain
10304;49;Maxilaku;480.0000;1996-09-17 00:00:00;Mexico
10304;59;Raclette Courdavault;440.0000;1996-09-17 00:00:00;Mexico
10304;71;Flotemysost;34.4000;1996-09-17 00:00:00;Mexico
10305;18;Carnarvon Tigers;1250.0000;1996-10-09 00:00:00;USA
10305;29;Thüringer Rostbratwurst;2475.0000;1996-10-09 00:00:00;USA
10305;39;Chartreuse verte;432.0000;1996-10-09 00:00:00;USA
10306;30;Nord-Ost Matjeshering;207.0000;1996-09-23 00:00:00;Spain
10306;53;Perth Pasties;262.0000;1996-09-23 00:00:00;Spain
10306;54;Tourtiere;29.5000;1996-09-23 00:00:00;Spain
10307;62;Tarte au sucre;394.0000;1996-09-25 00:00:00;USA
10307;68;Scottish Longbreads;30.0000;1996-09-25 00:00:00;USA
10308;69;Gudbrandsdalsost;28.8000;1996-09-24 00:00:00;Mexico
10308;70;Outback Lager;60.0000;1996-09-24 00:00:00;Mexico
10309;4;Chef Anton's Cajun Seasoning;352.0000;1996-10-23 00:00:00;Ireland
10309;6;Grandma's Boysenberry Spread;600.0000;1996-10-23 00:00:00;Ireland
10309;42;Singaporean Hokkien Fried Mee;22.4000;1996-10-23 00:00:00;Ireland
10309;43;Ipoh Coffee;736.0000;1996-10-23 00:00:00;Ireland
10309;71;Flotemysost;51.6000;1996-10-23 00:00:00;Ireland
10310;16;Pavlova;139.0000;1996-09-27 00:00:00;USA
10310;62;Tarte au sucre;197.0000;1996-09-27 00:00:00;USA
10311;42;Singaporean Hokkien Fried Mee;67.2000;1996-09-26 00:00:00;France
10311;69;Gudbrandsdalsost;201.6000;1996-09-26 00:00:00;France
