ProductID;ProductName;SpringRevenue;SummerRevenue;WinterRevenue
<class 'int'>;<class 'str'>;<class 'decimal.Decimal'>;<class 'decimal.Decimal'>;<class 'decimal.Decimal'>
23;Tunnbröd;1321.2000;90.0000;2232.0000
46;Spegesild;1416.0000;420.0000;1920.0000
69;Gudbrandsdalsost;4356.0000;4140.0000;5342.4000
29;Thüringer Rostbratwurst;23073.8800;6931.4400;39263.6600
75;Rhönbräu Klosterbier;3129.4500;1856.9000;2273.8500
15;Genen Shouyu;186.0000;790.5000;0.0000
9;Mishi Kobe Niku;1552.0000;0.0000;1843.0000
3;Aniseed Syrup;1050.0000;380.0000;1390.0000
52;Filo Mix;721.0000;931.0000;763.0000
72;Mozzarella di Giovanni;7411.4000;6693.2000;7114.6000
66;Louisiana Hot Spiced Okra;1377.0000;0.0000;1666.0000
32;Mascarpone Fabioli;6240.0000;473.6000;832.0000
26;Gumbär Gummibärchen;4681.9800;1436.5800;9365.2800
12;Queso Manchego La Pastora;5358.0000;1732.8000;456.0000
35;Steeleye Stout;4068.0000;3657.6000;4489.2000
63;Vegie-spread;6453.3000;1773.3000;5388.6000
6;Grandma's Boysenberry Spread;2725.0000;1750.0000;1400.0000
55;Pâté chinois;6134.4000;2707.2000;8640.0000
43;Ipoh Coffee;11932.4000;2392.0000;4002.0000
49;Maxilaku;3604.0000;1740.0000;3116.0000
67;Laughing Lumberjack Lager;1694.0000;56.0000;462.0000
27;Schoggi Schokolade;7682.5000;3599.0000;3950.0000
21;Sir Rodney's Scones;3520.0000;1350.0000;2856.0000
58;Escargots de Bourgogne;1192.5000;477.0000;2756.0000
64;Wimmers gute Semmelknödel;7295.0500;2334.1500;8891.0500
38;Côte de Blaye;42950.5000;3952.5000;78048.7000
7;Uncle Bob's Organic Dried Pears;13230.0000;3060.0000;3474.0000
44;Gula Malacca;2208.5000;1742.9500;2675.7000
1;Chai;5130.0000;2329.2000;3837.6000
50;Valkoinen suklaa;1218.7500;406.2500;715.0000
24;Guaraná Fantástica;2422.8000;753.3000;1197.0000
47;Zaanse koeken;750.5000;380.0000;1510.5000
70;Outback Lager;2304.0000;1242.0000;4326.0000
30;Nord-Ost Matjeshering;2884.0500;2660.7000;6140.3400
18;Carnarvon Tigers;7500.0000;9350.0000;7325.0000
10;Ikura;4154.0000;4160.2000;9393.0000
61;Sirop d'érable;5614.5000;3990.0000;5836.8000
41;Jack's New England Clam Chowder;3309.5500;595.3500;2173.8500
4;Chef Anton's Cajun Seasoning;4263.6000;1210.0000;1122.0000
65;Louisiana Fiery Hot Pepper Sauce;2693.8000;1914.1500;5119.4500
19;Teatime Chocolate Biscuits;1717.0000;920.7000;2083.7000
73;Röd Kaviar;765.0000;1320.0000;390.0000
25;NuNuCa Nuß-Nougat-Creme;1604.4000;0.0000;1730.4000
36;Inlagd Sill;5396.0000;3040.0000;2067.2000
62;Tarte au sucre;12423.6000;10034.8000;15573.2000
13;Konbu;3142.8000;630.0000;1344.0000
42;Singaporean Hokkien Fried Mee;3192.0000;1960.0000;2142.0000
5;Chef Anton's Gumbo Mix;2562.0000;1969.2500;1184.5000
56;Gnocchi di nonna Alice;10267.6000;8686.8000;16028.4000
22;Gustaf's Knäckebröd;1470.0000;3103.8000;2238.6000
76;Lakkalikööri;6670.8000;4165.2000;3070.8000
59;Raclette Courdavault;26213.0000;12859.0000;21032.0000
33;Geitost;389.0000;428.0000;710.5000
39;Chartreuse verte;1404.0000;1699.2000;6782.4000
16;Pavlova;6948.9000;2609.4000;4928.5000
53;Perth Pasties;5588.0000;3960.2000;6813.6000
45;Rogede sild;1852.5000;190.0000;855.0000
2;Chang;6327.0000;3686.0000;6080.0000
48;Chocolade;191.2500;76.5000;969.0000
71;Flotemysost;5387.9000;2580.0000;8436.6000
77;Original Frankfurter grüne Soße;3153.8000;2178.8000;2901.6000
17;Alice Mutton;7371.0000;7098.0000;11489.4000
31;Gorgonzola Telino;4587.5000;2887.5000;5035.0000
60;Camembert Pierrot;16150.0000;9241.2000;13865.2000
40;Boston Crab Meat;3656.7000;5038.6000;5088.0000
34;Sasquatch Ale;3822.0000;784.0000;616.0000
11;Queso Cabrales;3969.0000;1722.0000;6144.6000
54;Tourtiere;879.1500;684.8000;1641.5000
20;Sir Rodney's Marmalade;11340.0000;5977.8000;4617.0000
68;Scottish Longbreads;3300.0000;442.5000;3737.5000
28;Rössle Sauerkraut;11188.8000;2780.0000;5781.2000
74;Longlife Tofu;328.0000;456.0000;1732.0000
57;Ravioli Angelo;1911.0000;1630.2000;2184.0000
14;Tofu;2338.9500;2027.4000;2655.1500
37;Gravad lax;676.0000;20.8000;1768.0000
8;Northwoods Cranberry Sauce;4080.0000;0.0000;3200.0000
51;Manjimup Dried Apples;15783.4000;8988.8000;11522.2000
