ProductID;ProductName;SupplierID;SupplierName
<class 'int'>;<class 'str'>;<class 'int'>;<class 'str'>
1;Chai;1;Exotic Liquids
2;Chang;1;Exotic Liquids
3;Aniseed Syrup;1;Exotic Liquids
4;Chef Anton's Cajun Seasoning;2;New Orleans Cajun Delights
5;Chef Anton's Gumbo Mix;2;New Orleans Cajun Delights
6;Grandma's Boysenberry Spread;3;Grandma Kelly's Homestead
7;Uncle Bob's Organic Dried Pears;3;Grandma Kelly's Homestead
8;Northwoods Cranberry Sauce;3;Grandma Kelly's Homestead
9;Mishi Kobe Niku;4;Tokyo Traders
10;Ikura;4;Tokyo Traders
11;Queso Cabrales;5;Cooperativa de Quesos 'Las Cabras'
12;Queso Manchego La Pastora;5;Cooperativa de Quesos 'Las Cabras'
13;Konbu;6;Mayumi's
14;Tofu;6;Mayumi's
15;Genen Shouyu;6;Mayumi's
16;Pavlova;7;Pavlova, Ltd.
17;Alice Mutton;7;Pavlova, Ltd.
18;Carnarvon Tigers;7;Pavlova, Ltd.
19;Teatime Chocolate Biscuits;8;Specialty Biscuits, Ltd.
20;Sir Rodney's Marmalade;8;Specialty Biscuits, Ltd.
21;Sir Rodney's Scones;8;Specialty Biscuits, Ltd.
22;Gustaf's Knäckebröd;9;PB Knäckebröd AB
23;Tunnbröd;9;PB Knäckebröd AB
24;Guaraná Fantástica;10;Refrescos Americanas LTDA
25;NuNuCa Nuß-Nougat-Creme;11;Heli Süßwaren GmbH & Co. KG
26;Gumbär Gummibärchen;11;Heli Süßwaren GmbH & Co. KG
27;Schoggi Schokolade;11;Heli Süßwaren GmbH & Co. KG
28;Rössle Sauerkraut;12;Plutzer Lebensmittelgroßmärkte AG
29;Thüringer Rostbratwurst;12;Plutzer Lebensmittelgroßmärkte AG
30;Nord-Ost Matjeshering;13;Nord-Ost-Fisch Handelsgesellschaft mbH
31;Gorgonzola Telino;14;Formaggi Fortini s.r.l.
32;Mascarpone Fabioli;14;Formaggi Fortini s.r.l.
33;Geitost;15;Norske Meierier
34;Sasquatch Ale;16;Bigfoot Breweries
35;Steeleye Stout;16;Bigfoot Breweries
36;Inlagd Sill;17;Svensk Sjöföda AB
37;Gravad lax;17;Svensk Sjöföda AB
38;Côte de Blaye;18;Aux joyeux ecclésiastiques
39;Chartreuse verte;18;Aux joyeux ecclésiastiques
40;Boston Crab Meat;19;New England Seafood Cannery
41;Jack's New England Clam Chowder;19;New England Seafood Cannery
42;Singaporean Hokkien Fried Mee;20;Leka Trading
43;Ipoh Coffee;20;Leka Trading
44;Gula Malacca;20;Leka Trading
45;Rogede sild;21;Lyngbysild
46;Spegesild;21;Lyngbysild
47;Zaanse koeken;22;Zaanse Snoepfabriek
48;Chocolade;22;Zaanse Snoepfabriek
49;Maxilaku;23;Karkki Oy
50;Valkoinen suklaa;23;Karkki Oy
51;Manjimup Dried Apples;24;G'day, Mate
52;Filo Mix;24;G'day, Mate
53;Perth Pasties;24;G'day, Mate
54;Tourtiere;25;Ma Maison
55;Pâté chinois;25;Ma Maison
56;Gnocchi di nonna Alice;26;Pasta Buttini s.r.l.
57;Ravioli Angelo;26;Pasta Buttini s.r.l.
58;Escargots de Bourgogne;27;Escargots Nouveaux
59;Raclette Courdavault;28;Gai pâturage
60;Camembert Pierrot;28;Gai pâturage
61;Sirop d'érable;29;Forets d'érables
62;Tarte au sucre;29;Forets d'érables
63;Vegie-spread;7;Pavlova, Ltd.
64;Wimmers gute Semmelknödel;12;Plutzer Lebensmittelgroßmärkte AG
65;Louisiana Fiery Hot Pepper Sauce;2;New Orleans Cajun Delights
66;Louisiana Hot Spiced Okra;2;New Orleans Cajun Delights
67;Laughing Lumberjack Lager;16;Bigfoot Breweries
68;Scottish Longbreads;8;Specialty Biscuits, Ltd.
69;Gudbrandsdalsost;15;Norske Meierier
70;Outback Lager;7;Pavlova, Ltd.
71;Flotemysost;15;Norske Meierier
72;Mozzarella di Giovanni;14;Formaggi Fortini s.r.l.
73;Röd Kaviar;17;Svensk Sjöföda AB
74;Longlife Tofu;4;Tokyo Traders
75;Rhönbräu Klosterbier;12;Plutzer Lebensmittelgroßmärkte AG
76;Lakkalikööri;23;Karkki Oy
77;Original Frankfurter grüne Soße;12;Plutzer Lebensmittelgroßmärkte AG
