SupplierID;CompanyName;ContactName;Country
<class 'int'>;<class 'str'>;<class 'str'>;<class 'str'>
1;Exotic Liquids;Charlotte Cooper;UK
2;New Orleans Cajun Delights;Shelley Burke;USA
3;Grandma Kelly's Homestead;Regina Murphy;USA
4;Tokyo Traders;Yoshi Nagase;Japan
5;Cooperativa de Quesos 'Las Cabras';Antonio del Valle Saavedra;Spain
6;Mayumi's;Mayumi Ohno;Japan
7;Pavlova, Ltd.;Ian Devling;Australia
8;Specialty Biscuits, Ltd.;Peter Wilson;UK
9;PB Knäckebröd AB;Lars Peterson;Sweden
10;Refrescos Americanas LTDA;Carlos Diaz;Brazil
11;Heli Süßwaren GmbH & Co. KG;Petra Winkler;Germany
12;Plutzer Lebensmittelgroßmärkte AG;Martin Bein;Germany
13;Nord-Ost-Fisch Handelsgesellschaft mbH;Sven Petersen;Germany
14;Formaggi Fortini s.r.l.;Elio Rossi;Italy
15;Norske Meierier;Beate Vileid;Norway
16;Bigfoot Breweries;Cheryl Saylor;USA
17;Svensk Sjöföda AB;Michael Björn;Sweden
18;Aux joyeux ecclésiastiques;Guylene Nodier;France
19;New England Seafood Cannery;Robb Merchant;USA
20;Leka Trading;Chandra Leka;Singapore
21;Lyngbysild;Niels Petersen;Denmark
22;Zaanse Snoepfabriek;Dirk Luchte;Netherlands
23;Karkki Oy;Anne Heikkonen;Finland
24;G'day, Mate;Wendy Mackenzie;Australia
25;Ma Maison;Jean-Guy Lauzon;Canada
26;Pasta Buttini s.r.l.;Giovanni Giudici;Italy
27;Escargots Nouveaux;Marie Delamare;France
28;Gai pâturage;Eliane Noz;France
29;Forets d'érables;Chantal Goulet;Canada
