ProductID;SupplierID;StockValue
<class 'int'>;<class 'int'>;<class 'decimal.Decimal'>
1;1;702.0000
2;1;323.0000
3;1;130.0000
4;2;1166.0000
5;2;0.0000
6;3;3000.0000
7;3;450.0000
8;3;240.0000
9;4;2813.0000
10;4;961.0000
11;5;462.0000
12;5;3268.0000
13;6;144.0000
14;6;813.7500
15;6;604.5000
16;7;506.0500
17;7;0.0000
18;7;2625.0000
19;8;230.0000
20;8;3240.0000
21;8;30.0000
22;9;2184.0000
23;9;549.0000
24;10;90.0000
25;11;1064.0000
26;11;468.4500
27;11;2151.1000
28;12;1185.6000
29;12;0.0000
30;13;258.9000
31;14;0.0000
32;14;288.0000
33;15;280.0000
34;16;1554.0000
35;16;360.0000
36;17;2128.0000
37;17;286.0000
38;18;4479.5000
39;18;1242.0000
40;19;2263.2000
41;19;820.2500
42;20;364.0000
43;20;782.0000
44;20;525.1500
45;21;47.5000
46;21;1140.0000
47;22;342.0000
48;22;191.2500
49;23;200.0000
50;23;1056.2500
51;24;1060.0000
52;24;266.0000
53;24;0.0000
54;25;156.4500
55;25;2760.0000
56;26;798.0000
57;26;702.0000
58;27;821.5000
59;28;4345.0000
60;28;646.0000
61;29;3220.5000
62;29;838.1000
63;7;1053.6000
64;12;731.5000
65;2;1599.8000
66;2;68.0000
67;16;728.0000
68;8;75.0000
69;15;936.0000
70;7;225.0000
71;15;559.0000
72;14;487.2000
73;17;1515.0000
74;4;40.0000
75;12;968.7500
76;23;1026.0000
77;12;416.0000
