SupplierID;CompanyName;CategoryName;TotalCategoryRevenue;SupplierContribution
<class 'int'>;<class 'str'>;<class 'str'>;<class 'decimal.Decimal'>;<class 'decimal.Decimal'>
1;Exotic Liquids;Beverages;286526.9500;32836.8000
1;Exotic Liquids;Condiments;113694.7500;3080.0000
2;New Orleans Cajun Delights;Condiments;113694.7500;33351.9500
3;Grandma Kelly's Homestead;Condiments;113694.7500;21105.0000
3;Grandma Kelly's Homestead;Produce;105268.6000;22464.0000
4;Tokyo Traders;Meat/Poultry;178188.8000;8827.0000
4;Tokyo Traders;Produce;105268.6000;2566.0000
4;Tokyo Traders;Seafood;141623.0900;22140.2000
5;Cooperativa de Quesos 'Las Cabras';Dairy Products;251330.5000;26768.8000
6;Mayumi's;Condiments;113694.7500;1813.5000
6;Mayumi's;Produce;105268.6000;8630.4000
6;Mayumi's;Seafood;141623.0900;5234.4000
7;Pavlova, Ltd.;Beverages;286526.9500;11472.0000
7;Pavlova, Ltd.;Condiments;113694.7500;17696.3000
7;Pavlova, Ltd.;Confections;177099.1000;18748.0500
7;Pavlova, Ltd.;Meat/Poultry;178188.8000;35482.2000
7;Pavlova, Ltd.;Seafood;141623.0900;31987.5000
8;Specialty Biscuits, Ltd.;Confections;177099.1000;48793.8000
9;PB Knäckebröd AB;Grains/Cereals;100726.8000;12072.6000
10;Refrescos Americanas LTDA;Beverages;286526.9500;4782.6000
11;Heli Süßwaren GmbH & Co. KG;Confections;177099.1000;40818.0000
12;Plutzer Lebensmittelgroßmärkte AG;Beverages;286526.9500;8650.5500
12;Plutzer Lebensmittelgroßmärkte AG;Condiments;113694.7500;9685.0000
12;Plutzer Lebensmittelgroßmärkte AG;Grains/Cereals;100726.8000;23009.0000
12;Plutzer Lebensmittelgroßmärkte AG;Meat/Poultry;178188.8000;87736.4000
12;Plutzer Lebensmittelgroßmärkte AG;Produce;105268.6000;26865.6000
13;Nord-Ost-Fisch Handelsgesellschaft mbH;Seafood;141623.0900;14775.5400
14;Formaggi Fortini s.r.l.;Dairy Products;251330.5000;51082.5000
15;Norske Meierier;Dairy Products;251330.5000;46897.2000
16;Bigfoot Breweries;Beverages;286526.9500;23776.8000
17;Svensk Sjöföda AB;Seafood;141623.0900;21789.8000
18;Aux joyeux ecclésiastiques;Beverages;286526.9500;163135.0000
19;New England Seafood Cannery;Seafood;141623.0900;28146.4000
20;Leka Trading;Beverages;286526.9500;25079.2000
20;Leka Trading;Condiments;113694.7500;10524.2000
20;Leka Trading;Grains/Cereals;100726.8000;9332.4000
21;Lyngbysild;Seafood;141623.0900;10884.5000
22;Zaanse Snoepfabriek;Confections;177099.1000;5901.3500
23;Karkki Oy;Beverages;286526.9500;16794.0000
23;Karkki Oy;Confections;177099.1000;13010.0000
24;G'day, Mate;Grains/Cereals;100726.8000;3383.8000
24;G'day, Mate;Meat/Poultry;178188.8000;21510.2000
24;G'day, Mate;Produce;105268.6000;44742.6000
25;Ma Maison;Meat/Poultry;178188.8000;24633.0000
26;Pasta Buttini s.r.l.;Grains/Cereals;100726.8000;52929.0000
27;Escargots Nouveaux;Seafood;141623.0900;6664.7500
28;Gai pâturage;Dairy Products;251330.5000;126582.0000
29;Forets d'érables;Condiments;113694.7500;16438.8000
29;Forets d'érables;Confections;177099.1000;49827.9000
