CompanyName;Phone;OriginalSource
<class 'str'>;<class 'str'>;<class 'str'>
Alfreds Futterkiste;030-0074321;Customer
Ana Trujillo Emparedados y helados;(5) 555-4729;Customer
Antonio Moreno Taquería;(5) 555-3932;Customer
Around the Horn;(171) 555-7788;Customer
Berglunds snabbköp;0921-12 34 65;Customer
Blauer See Delikatessen;0621-08460;Customer
Blondesddsl pere et fils;88.60.15.31;Customer
Bon app';91.24.45.40;Customer
Bottom-Dollar Markets;(604) 555-4729;Customer
Bólido Comidas preparadas;(91) 555 22 82;Customer
B's Beverages;(171) 555-1212;Customer
Cactus Comidas para llevar;(1) 135-5555;Customer
Centro comercial Moctezuma;(5) 555-3392;Customer
Chop-suey Chinese;0452-076545;Customer
Comércio Mineiro;(11) 555-7647;Customer
Consolidated Holdings;(171) 555-2282;Customer
Die Wandernde Kuh;0711-020361;Customer
Drachenblut Delikatessen;0241-039123;Customer
Du monde entier;40.67.88.88;Customer
Eastern Connection;(171) 555-0297;Customer
Ernst Handel;7675-3425;Customer
Familia Arquibaldo;(11) 555-9857;Customer
Federal Shipping;(503) 555-9931;Shipper
FISSA Fabrica Inter. Salchichas S.A.;(91) 555 94 44;Customer
Folies gourmandes;20.16.10.16;Customer
Folk och fä HB;0695-34 67 21;Customer
France restauration;40.32.21.21;Customer
Franchi S.p.A.;011-4988260;Customer
Frankenversand;089-0877310;Customer
Furia Bacalhau e Frutos do Mar;(1) 354-2534;Customer
Galería del gastrónomo;(93) 203 4560;Customer
Godos Cocina Típica;(95) 555 82 82;Customer
Gourmet Lanchonetes;(11) 555-9482;Customer
Great Lakes Food Market;(503) 555-7555;Customer
GROSELLA-Restaurante;(2) 283-2951;Customer
Hanari Carnes;(21) 555-0091;Customer
HILARION-Abastos;(5) 555-1340;Customer
Hungry Coyote Import Store;(503) 555-6874;Customer
Hungry Owl All-Night Grocers;2967 542;Customer
Island Trading;(198) 555-8888;Customer
Königlich Essen;0555-09876;Customer
La corne d'abondance;30.59.84.10;Customer
La maison d'Asie;61.77.61.10;Customer
Laughing Bacchus Wine Cellars;(604) 555-3392;Customer
Lazy K Kountry Store;(509) 555-7969;Customer
Lehmanns Marktstand;069-0245984;Customer
Let's Stop N Shop;(415) 555-5938;Customer
LILA-Supermercado;(9) 331-6954;Customer
LINO-Delicateses;(8) 34-56-12;Customer
Lonesome Pine Restaurant;(503) 555-9573;Customer
Magazzini Alimentari Riuniti;035-640230;Customer
Maison Dewey;(02) 201 24 67;Customer
Mere Paillarde;(514) 555-8054;Customer
Morgenstern Gesundkost;0342-023176;Customer
North/South;(171) 555-7733;Customer
Océano Atlántico Ltda.;(1) 135-5333;Customer
Old World Delicatessen;(907) 555-7584;Customer
Ottilies Käseladen;0221-0644327;Customer
Paris spécialités;(1) 42.34.22.66;Customer
Pericles Comidas clásicas;(5) 552-3745;Customer
Piccolo und mehr;6562-9722;Customer
Princesa Isabel Vinhos;(1) 356-5634;Customer
Que Delícia;(21) 555-4252;Customer
Queen Cozinha;(11) 555-1189;Customer
QUICK-Stop;0372-035188;Customer
Rancho grande;(1) 123-5555;Customer
Rattlesnake Canyon Grocery;(505) 555-5939;Customer
Reggiani Caseifici;0522-556721;Customer
Ricardo Adocicados;(21) 555-3412;Customer
Richter Supermarkt;0897-034214;Customer
Romero y tomillo;(91) 745 6200;Customer
Santé Gourmet;07-98 92 35;Customer
Save-a-lot Markets;(208) 555-8097;Customer
Seven Seas Imports;(171) 555-1717;Customer
Simons bistro;31 12 34 56;Customer
Spécialités du monde;(1) 47.55.60.10;Customer
Speedy Express;(503) 555-9831;Shipper
Split Rail Beer & Ale;(307) 555-4680;Customer
Supremes délices;(071) 23 67 22 20;Customer
The Big Cheese;(503) 555-3612;Customer
The Cracker Box;(406) 555-5834;Customer
Toms Spezialitäten;0251-031259;Customer
Tortuga Restaurante;(5) 555-2933;Customer
Tradiçao Hipermercados;(11) 555-2167;Customer
Trail's Head Gourmet Provisioners;(206) 555-8257;Customer
United Package;(503) 555-3199;Shipper
Vaffeljernet;86 21 32 43;Customer
Victuailles en stock;78.32.54.86;Customer
Vins et alcools Chevalier;26.47.15.10;Customer
Wartian Herkku;981-443655;Customer
Wellington Importadora;(14) 555-8122;Customer
White Clover Markets;(206) 555-4112;Customer
Wilman Kala;90-224 8858;Customer
Wolski  Zajazd;(26) 642-7012;Customer
